"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Orconectes limosus (Rafinesque, 1817)","species","Animalia","alien","null","present","Serbia","SRB","Orconectes limosus","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","[""freshwater""]"
"Elaeagnus angustifolia L.","species","Plantae","alien","null","present","Serbia","SRB","Elaeagnus angustifolia","Plantae","Tracheophyta","Magnoliopsida","Rosales","Elaeagnaceae","[""terrestrial""]"
"Euphorbia marginata Pursh","species","Plantae","alien","null","present","Serbia","SRB","Euphorbia marginata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Coregonus peled (Gmelin, 1789)","species","Animalia","alien","null","present","Serbia","SRB","Coregonus peled","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Oryctolagus cuniculus (Linnaeus, 1758)","species","Animalia","alien","null","present","Serbia","SRB","Oryctolagus cuniculus","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","[""terrestrial""]"
"Vitis rupestris Scheele","species","Plantae","alien","null","present","Serbia","SRB","Vitis rupestris","Plantae","Tracheophyta","Magnoliopsida","Vitales","Vitaceae","[""terrestrial""]"
"Nicandra physalodes (L.) Gaertn.","species","Plantae","alien","null","present","Serbia","SRB","Nicandra physalodes","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Reynoutria japonica Houtt.","species","Plantae","alien","null","present","Serbia","SRB","Reynoutria japonica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial"",""freshwater""]"
"Ondatra zibethicus (Linnaeus, 1766)","species","Animalia","alien","null","present","Serbia","SRB","Ondatra zibethicus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","[""terrestrial"",""freshwater""]"
"Syngnathus abaster Risso, 1827","species","Animalia","alien","null","present","Serbia","SRB","Syngnathus abaster","Animalia","Chordata","Actinopterygii","Syngnathiformes","Syngnathidae","[""freshwater"",""brackish"",""marine""]"
"Katamysis warpachowskyi G.O.Sars, 1893","species","Animalia","alien","null","present","Serbia","SRB","Katamysis warpachowskyi","Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","[""marine""]"
"Dysphania ambrosioides (L.) Mosyakin & Clemants","species","Plantae","alien","null","present","Serbia","SRB","Dysphania ambrosioides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Cytisus grandiflorus DC.","species","Plantae","alien","null","present","Serbia","SRB","Cytisus grandiflorus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
