"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Euphorbia tithymaloides L.","species","Plantae","alien","null","present","Seychelles","SYC","Euphorbia tithymaloides","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Asparagus officinalis L.","species","Plantae","alien","null","present","Seychelles","SYC","Asparagus officinalis","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]",
"Phoenix dactylifera L.","species","Plantae","alien","null","present","Seychelles","SYC","Phoenix dactylifera","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","[""terrestrial""]",
"Solanum melongena L.","species","Plantae","alien","null","present","Seychelles","SYC","Solanum melongena","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Bellis perennis L.","species","Plantae","alien","null","present","Seychelles","SYC","Bellis perennis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Capsicum frutescens L.","species","Plantae","alien","null","present","Seychelles","SYC","Capsicum frutescens","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Polyscias scutellaria (Burm. f.) Fosberg","species","Plantae","alien","null","present","Seychelles","SYC","Polyscias scutellaria","Plantae","Tracheophyta","Magnoliopsida","Apiales","Araliaceae","[""terrestrial""]",
"Plumbago auriculata Lam.","species","Plantae","alien","null","present","Seychelles","SYC","Plumbago auriculata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Plumbaginaceae","[""terrestrial""]",
"Bauhinia galpinii N.E.Br.","species","Plantae","alien","null","present","Seychelles","SYC","Bauhinia galpinii","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Atropa belladonna L.","species","Plantae","alien","null","present","Seychelles","SYC","Atropa belladonna","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Commicarpus plumbagineus (Cav.) Standl.","species","Plantae","alien","null","present","Seychelles","SYC","Commicarpus plumbagineus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","[""terrestrial""]",
"Elettaria cardamomum (L.) Maton","species","Plantae","alien","null","present","Seychelles","SYC","Elettaria cardamomum","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae","[""terrestrial""]",
"Diospyros blancoi A.DC.","species","Plantae","alien","null","present","Seychelles","SYC","Diospyros discolor","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ebenaceae","[""terrestrial""]",
"Funtumia elastica (Preuss) Stapf","species","Plantae","alien","null","present","Seychelles","SYC","Funtumia elastica","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Sambucus canadensis L.","species","Plantae","alien","null","present","Seychelles","SYC","Sambucus canadensis","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Adoxaceae","[""terrestrial""]",
"Mus musculus Linnaeus, 1758","species","Animalia","alien","invasive","present","Seychelles","SYC","Mus musculus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]",
"Rondeletia odorata Jacq.","species","Plantae","alien","null","present","Seychelles","SYC","Rondeletia odorata","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Canavalia gladiata (Jacq.) DC.","species","Plantae","alien","null","present","Seychelles","SYC","Canavalia gladiata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Calandra sordida Dejean, 1835","species","Animalia","alien","invasive","present","Seychelles","SYC","Calandra sordida","Animalia","Arthropoda","Insecta","Coleoptera","Dryophthoridae","[""terrestrial""]",
"Cryptostegia madagascariensis Boj.","species","Plantae","alien","null","present","Seychelles","SYC","Cryptostegia madagascariensis","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Pteris quadriaurita Retz.","species","Plantae","alien","null","present","Seychelles","SYC","Pteris quadriaurita","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","[""terrestrial""]",
"Coffea liberica Hiern","species","Plantae","alien","invasive","present","Seychelles","SYC","Coffea liberica","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Filicium decipiens (Wight & Arn.) Thwaites","species","Plantae","alien","null","present","Seychelles","SYC","Filicium decipiens","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]",
"Pinus caribaea Morelet","species","Plantae","alien","null","present","Seychelles","SYC","Pinus caribaea","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]",
"Passiflora quadrangularis L.","species","Plantae","alien","null","present","Seychelles","SYC","Passiflora quadrangularis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]",
"Lagenaria siceraria (Molina) Standl.","species","Plantae","alien","null","present","Seychelles","SYC","Lagenaria siceraria","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","[""terrestrial""]",
"Colocasia antiquorum Schott","species","Plantae","alien","null","present","Seychelles","SYC","Colocasia esculenta","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial"",""freshwater""]",
"Lepus nigricollis F. Cuvier, 1823","species","Animalia","alien","invasive","present","Seychelles","SYC","Lepus nigricollis","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","[""terrestrial""]",
"Terminalia arjuna (Roxb.) Wight & Arn.","species","Plantae","alien","null","present","Seychelles","SYC","Terminalia arjuna","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Combretaceae","[""terrestrial""]",
"Jatropha curcas L.","species","Plantae","alien","null","present","Seychelles","SYC","Jatropha curcas","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Lonicera japonica Thunb.","species","Plantae","alien","invasive","present","Seychelles","SYC","Lonicera japonica","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","[""terrestrial""]",
"Oxalis corniculata L.","species","Plantae","alien","invasive","present","Seychelles","SYC","Oxalis corniculata","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Oxalidaceae","[""terrestrial""]",
"Acacia mearnsii De Wild.","species","Plantae","alien","null","present","Seychelles","SYC","Acacia mearnsii","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Pityrogramma calomelanos (L.) Link","species","Plantae","alien","null","present","Seychelles","SYC","Pityrogramma calomelanos","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","[""terrestrial""]",
"Basella alba L.","species","Plantae","alien","null","present","Seychelles","SYC","Basella alba","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Basellaceae","[""terrestrial""]",
"Cyperus papyrus L.","species","Plantae","alien","null","present","Seychelles","SYC","Cyperus papyrus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Trachyspermum ammi (L.) Sprague","species","Plantae","alien","null","present","Seychelles","SYC","Trachyspermum ammi","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]",
"Adiantum trapeziforme L.","species","Plantae","alien","null","present","Seychelles","SYC","Adiantum trapeziforme","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","[""terrestrial""]",
"Brassica napus L.","species","Plantae","alien","null","present","Seychelles","SYC","Brassica napus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]",
"Epipremnum pinnatum (L.) Engl.","species","Plantae","alien","invasive","present","Seychelles","SYC","Epipremnum pinnatum","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial""]",
"Antigonon leptopus Hook. & Arn.","species","Plantae","alien","null","present","Seychelles","SYC","Antigonon leptopus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]",
"Caladium bicolor (Aiton) Vent.","species","Plantae","alien","null","present","Seychelles","SYC","Caladium bicolor","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial""]",
"Schefflera heptaphylla (L.) Frodin","species","Plantae","alien","null","present","Seychelles","SYC","Schefflera heptaphylla","Plantae","Tracheophyta","Magnoliopsida","Apiales","Araliaceae","[""terrestrial""]",
"Acalypha hispida Burm. f.","species","Plantae","alien","null","present","Seychelles","SYC","Acalypha hispida","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Ipomoea tricolor Cav.","species","Plantae","alien","null","present","Seychelles","SYC","Ipomoea tricolor","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Jasminum multiflorum (Burm. f.) Andrews","species","Plantae","alien","null","present","Seychelles","SYC","Jasminum multiflorum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","[""terrestrial""]",
"Adiantum hispidulum Sw.","species","Plantae","alien","null","present","Seychelles","SYC","Adiantum hispidulum","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","[""terrestrial""]",
"Dracaena marginata Lam.","species","Plantae","alien","null","present","Seychelles","SYC","Dracaena reflexa","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]",
"Senna polyphylla (Jacq.) H.S.Irwin & Barneby","species","Plantae","alien","null","present","Seychelles","SYC","Senna polyphylla","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Citrus maxima (Burm.) Merr.","species","Plantae","alien","null","present","Seychelles","SYC","Citrus grandis","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae","[""terrestrial""]",
"Phyllanthus niruroides Müll.Arg.","species","Plantae","alien","null","present","Seychelles","SYC","Phyllanthus niruroides","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Phyllanthaceae","[""terrestrial""]",
"Asystasia gangetica subsp. gangetica","subspecies","Plantae","alien","null","present","Seychelles","SYC","Asystasia gangetica","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]",
"Cassia roxburghii DC.","species","Plantae","alien","null","present","Seychelles","SYC","Cassia roxburghii","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Jasminum grandiflorum L.","species","Plantae","alien","null","present","Seychelles","SYC","Jasminum grandiflorum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","[""terrestrial""]",
"Sorindeia grandifolia Engl.","species","Plantae","alien","null","present","Seychelles","SYC","Sorindeia grandifolia","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","[""terrestrial""]",
"Paraderris elliptica (Wall.) Adema","species","Plantae","alien","null","present","Seychelles","SYC","Derris elliptica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Russelia sarmentosa Jacq.","species","Plantae","alien","null","present","Seychelles","SYC","Russelia sarmentosa","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]",
"Curcuma domestica Valeton","species","Plantae","alien","null","present","Seychelles","SYC","Curcuma longa","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae","[""terrestrial""]",
"Sida acuta Burm. fil.","species","Plantae","alien","null","present","Seychelles","SYC","Sida acuta","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Leucaena leucocephala (Lam.) de Wit","species","Plantae","alien","null","present","Seychelles","SYC","Leucaena leucocephala","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Striga asiatica (L.) Kuntze","species","Plantae","alien","null","present","Seychelles","SYC","Striga asiatica","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","[""terrestrial""]",
"Ipomoea alba L.","species","Plantae","alien","null","present","Seychelles","SYC","Ipomoea alba","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Allium sativum L.","species","Plantae","alien","null","present","Seychelles","SYC","Allium sativum","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","[""terrestrial""]",
"Hymenocallis littoralis (Jacq.) Salisb.","species","Plantae","alien","null","present","Seychelles","SYC","Hymenocallis littoralis","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","[""terrestrial""]",
"Foudia madagascariensis (Linnaeus, 1766)","species","Animalia","alien","invasive","present","Seychelles","SYC","Foudia madagascariensis","Animalia","Chordata","Aves","Passeriformes","Ploceidae","[""terrestrial""]",
"Icerya seychellarum (Westwood, 1855) Westwood, 1855","species","Animalia","alien","null","present","Seychelles","SYC","Icerya seychellarum","Animalia","Arthropoda","Insecta","Hemiptera","Margarodidae","[""host""]",
