"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Lipocarpha microcephala (R.Br.) Kunth","species","Plantae","cryptogenic|uncertain","null","present","Singapore","SGP","Cyperus leptocarpus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Scleropages formosus (Müller & Schlegel, 1840)","species","Animalia","alien","null","present","Singapore","SGP","Scleropages formosus","Animalia","Chordata","Actinopterygii","Osteoglossiformes","Osteoglossidae","[""freshwater""]",
"Ageratum conyzoides L.","species","Plantae","alien","null","present","Singapore","SGP","Ageratum conyzoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Satanoperca jurupari (Heckel, 1840)","species","Animalia","alien","null","present","Singapore","SGP","Satanoperca jurupari","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater""]",
"Pterygoplichthys joselimaianus (Weber, 1991)","species","Animalia","alien","null","present","Singapore","SGP","Pterygoplichthys joselimaianus","Animalia","Chordata","Actinopterygii","Siluriformes","Loricariidae","[""freshwater""]",
"Cuscuta obtusiflora Kunth","species","Plantae","cryptogenic|uncertain","null","present","Singapore","SGP","Cuscuta obtusiflora","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""host""]",
"Ricinus communis L.","species","Plantae","alien","null","present","Singapore","SGP","Ricinus communis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Spathoglottis unguiculata Rchb.f.","species","Plantae","alien","null","present","Singapore","SGP","Spathoglottis unguiculata","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","[""terrestrial""]",
"Ficus elastica Roxb.","species","Plantae","alien","null","present","Singapore","SGP","Ficus elastica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]",
"Lissemys punctata (Bonnaterre, 1789)","species","Animalia","alien","null","present","Singapore","SGP","Lissemys punctata","Animalia","Chordata","Reptilia","Testudines","Trionychidae","[""terrestrial"",""freshwater""]",
"Bothriochloa bladhii (Retz.) S.T.Blake","species","Plantae","cryptogenic|uncertain","null","present","Singapore","SGP","Bothriochloa bladhii","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Nauphoeta cinerea (Olivier, 1789)","species","Animalia","alien","null","present","Singapore","SGP","Nauphoeta cinerea","Animalia","Arthropoda","Insecta","Blattodea","Blaberidae","[""terrestrial""]",
"Macrobrachium inflatum Liang & Yan, 1985","species","Animalia","alien","null","present","Singapore","SGP","Macrobrachium inflatum","Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae","[""freshwater""]",
"Ocimum americanum L.","species","Plantae","cryptogenic|uncertain","null","present","Singapore","SGP","Ocimum americanum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Schizostachyum zollingeri Steud.","species","Plantae","alien","null","present","Singapore","SGP","Schizostachyum zollingeri","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Limnophila laxa Benth.","species","Plantae","cryptogenic|uncertain","null","present","Singapore","SGP","Limnophila laxa","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""freshwater""]",
"Syngonium podophyllum Schott","species","Plantae","alien","invasive","present","Singapore","SGP","Syngonium podophyllum","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial""]",
"Acanthospermum australe Kuntze","species","Plantae","alien","null","present","Singapore","SGP","Acanthospermum australe","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Gymnodinium impudicum (Fraga & Bravo) Hansen & Moestrup, 2000","species","Chromista","alien","null","present","Singapore","SGP","Gymnodinium impudicum","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","[""marine""]",
"Turnera ulmifolia L.","species","Plantae","alien","null","present","Singapore","SGP","Turnera ulmifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Turneraceae","[""terrestrial""]",
"Eragrostis brownii Nees","species","Plantae","cryptogenic|uncertain","null","present","Singapore","SGP","Eragrostis brownii","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Mimosa diplotricha C.Wright ex Sauvalle","species","Plantae","alien","null","present","Singapore","SGP","Mimosa diplotricha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
