"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Iberis pinnata L.","species","Plantae","alien","null","present","Slovakia","SVK","Iberis pinnata","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Malope trifida Cav.","species","Plantae","alien","null","present","Slovakia","SVK","Malope trifida","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Sisymbrium loeselii L.","species","Plantae","alien","null","present","Slovakia","SVK","Sisymbrium loeselii","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Neogobius melanostomus (Pallas, 1814)","species","Animalia","alien","invasive","present","Slovakia","SVK","Neogobius melanostomus","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","[""freshwater"",""brackish"",""marine""]"
"Allium schoenoprasum L.","species","Plantae","alien","null","present","Slovakia","SVK","Allium schoenoprasum","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","[""terrestrial""]"
"Lycopsis arvensis L.","species","Plantae","alien","null","present","Slovakia","SVK","Lycopsis arvensis","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","[""terrestrial""]"
"Calendula arvensis L.","species","Plantae","alien","null","present","Slovakia","SVK","Calendula arvensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Campanula portenschlagiana Roem. & Schult.","species","Plantae","alien","null","present","Slovakia","SVK","Campanula portenschlagiana","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","[""terrestrial""]"
"Corydalis lutea (L.) DC.","species","Plantae","alien","null","present","Slovakia","SVK","Pseudofumaria lutea","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Fallopia sachalinensis (Friedrich Schmidt Petrop.) Ronse Decraene","species","Plantae","alien","invasive","present","Slovakia","SVK","Reynoutria sachalinensis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Arundo donax L.","species","Plantae","alien","null","present","Slovakia","SVK","Arundo donax","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Glycyrrhiza glabra L.","species","Plantae","alien","null","present","Slovakia","SVK","Glycyrrhiza glabra","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Hyacinthus orientalis L.","species","Plantae","alien","null","present","Slovakia","SVK","Hyacinthus orientalis","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Convolvulus arvensis L.","species","Plantae","alien","null","present","Slovakia","SVK","Convolvulus arvensis","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
