"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Arcuatula senhousia (Benson, 1842)","species","Animalia","alien","null","present","Slovenia","SVN","Arcuatula senhousia","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","[""marine""]"
"Kerria japonica (L.) DC.","species","Plantae","alien","null","present","Slovenia","SVN","Kerria japonica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Gibbium psylloides (Czenpinski, 1778)","species","Animalia","alien","null","present","Slovenia","SVN","Gibbium psylloides","Animalia","Arthropoda","Insecta","Coleoptera","Ptinidae","[""terrestrial""]"
"Jasminum fruticans L.","species","Plantae","alien","null","present","Slovenia","SVN","Chrysojasminum fruticans","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","[""terrestrial""]"
"Veronica filiformis Sm.","species","Plantae","alien","null","present","Slovenia","SVN","Veronica filiformis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Acipenser baerii Brandt, 1869","species","Animalia","alien","null","present","Slovenia","SVN","Acipenser baerii","Animalia","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","[""freshwater"",""brackish""]"
"Rhagoletis cingulata (Loew, 1862)","species","Animalia","alien","null","present","Slovenia","SVN","Rhagoletis cingulata","Animalia","Arthropoda","Insecta","Diptera","Tephritidae","[""terrestrial""]"
"Cladosporium macrocarpum Preuss","species","Fungi","alien","invasive","present","Slovenia","SVN","Cladosporium macrocarpum","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","[""host""]"
"Megastigmus wachtli Seitner, 1916","species","Animalia","alien","null","present","Slovenia","SVN","Megastigmus wachtli","Animalia","Arthropoda","Insecta","Hymenoptera","Torymidae","[""terrestrial""]"
"Erysiphe flexuosa (Peck) U.Braun & S.Takam.","species","Fungi","alien","invasive","present","Slovenia","SVN","Erysiphe flexuosa","Fungi","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","[""host""]"
"Portulaca grandiflora Hook.","species","Plantae","alien","null","present","Slovenia","SVN","Portulaca grandiflora","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Portulacaceae","[""terrestrial""]"
"Cenchrus incertus M.A.Curtis","species","Plantae","alien","null","present","Slovenia","SVN","Cenchrus spinifex","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Didymascella thujina (E.J.Durand) Maire","species","Fungi","alien","invasive","present","Slovenia","SVN","Didymascella thujina","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hemiphacidiaceae","[""host""]"
"Trogoderma granarium Everts, 1898","species","Animalia","alien","null","present","Slovenia","SVN","Trogoderma granarium","Animalia","Arthropoda","Insecta","Coleoptera","Dermestidae","[""terrestrial""]"
"Ephestia elutella (Hubner, 1796)","species","Animalia","alien","null","present","Slovenia","SVN","Ephestia elutella","Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","[""terrestrial""]"
"Mirabilis jalapa L.","species","Plantae","alien","null","present","Slovenia","SVN","Mirabilis jalapa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","[""terrestrial""]"
"Ceratoperidinium margalefii A.R.Loeblich III","species","Chromista","alien","null","present","Slovenia","SVN","Ceratoperidinium margalefii","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Warnowiaceae","[""marine""]"
"Leucocoprinus cepistipes (Sowerby) Pat.","species","Fungi","alien","null","present","Slovenia","SVN","Leucocoprinus cepistipes","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","[""host""]"
"Bidens vulgata Greene","species","Plantae","alien","null","present","Slovenia","SVN","Bidens vulgata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Oncorhynchus mykiss (Walbaum, 1792)","species","Animalia","alien","invasive","present","Slovenia","SVN","Oncorhynchus mykiss","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Commelina communis L.","species","Plantae","alien","null","present","Slovenia","SVN","Commelina communis","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","[""terrestrial""]"
"Aegilops cylindrica Host","species","Plantae","alien","null","present","Slovenia","SVN","Aegilops cylindrica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Geum aleppicum Jacq.","species","Plantae","alien","null","present","Slovenia","SVN","Geum aleppicum","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Gleditsia triacanthos L.","species","Plantae","alien","null","present","Slovenia","SVN","Gleditsia triacanthos","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Rhus radicans L.","species","Plantae","alien","null","present","Slovenia","SVN","Toxicodendron radicans","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","[""terrestrial""]"
"Cadra figulilella (Gregson, 1871)","species","Animalia","alien","null","present","Slovenia","SVN","Cadra figulilella","Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","[""terrestrial""]"
"Medicago sativa L.","species","Plantae","alien","null","present","Slovenia","SVN","Medicago sativa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Agaricus bernardii Quél.","species","Fungi","alien","null","present","Slovenia","SVN","Agaricus bernardii","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","[""host""]"
"Parabuteo unicinctus (Temminck, 1824)","species","Animalia","alien","null","present","Slovenia","SVN","Parabuteo unicinctus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","[""terrestrial""]"
"Amaranthus caudatus L.","species","Plantae","alien","null","present","Slovenia","SVN","Amaranthus caudatus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Puccinia sorghi Schwein.","species","Fungi","alien","null","present","Slovenia","SVN","Puccinia sorghi","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Pucciniaceae","[""host""]"
"Dothistroma pini Hulbary","species","Fungi","alien","invasive","present","Slovenia","SVN","Dothistroma pini","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","[""host""]"
"Sitotroga cerealella (Olivier, 1789)","species","Animalia","alien","null","present","Slovenia","SVN","Sitotroga cerealella","Animalia","Arthropoda","Insecta","Lepidoptera","Gelechiidae","[""terrestrial""]"
"Phytophthora plurivora T.Jung & T.I.Burgess","species","Chromista","alien","invasive","present","Slovenia","SVN","Phytophthora plurivora","Chromista","Oomycota","Peronosporea","Peronosporales","Peronosporaceae","[""host""]"
"Cheiracanthium mildei L.Koch, 1864","species","Animalia","alien","null","present","Slovenia","SVN","Cheiracanthium mildei","Animalia","Arthropoda","Arachnida","Araneae","Cheiracanthiidae","[""terrestrial""]"
"Clathrus archeri (Berk.) Dring","species","Fungi","alien","invasive","present","Slovenia","SVN","Clathrus archeri","Fungi","Basidiomycota","Agaricomycetes","Phallales","Phallaceae","[""host""]"
"Phytophthora cinnamomi Rands","species","Chromista","alien","null","present","Slovenia","SVN","Phytophthora cinnamomi","Chromista","Oomycota","Peronosporea","Peronosporales","Peronosporaceae","[""host""]"
"Phloeospora robiniae (Lib.) Höhn.","species","Fungi","alien","null","present","Slovenia","SVN","Phloeospora robiniae","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","[""host""]"
"Rhabdocline pseudotsugae Syd.","species","Fungi","alien","invasive","present","Slovenia","SVN","Rhabdocline pseudotsugae","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hemiphacidiaceae","[""host""]"
"Lepidium didymum L.","species","Plantae","alien","null","present","Slovenia","SVN","Lepidium didymum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Cornus kousa Bürger ex Hance","species","Plantae","alien","null","present","Slovenia","SVN","Cornus kousa","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","[""terrestrial""]"
"Persicaria orientalis (L.) Spach","species","Plantae","alien","null","present","Slovenia","SVN","Persicaria orientalis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Erigeron annuus Pers.","species","Plantae","alien","invasive","present","Slovenia","SVN","Erigeron annuus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Populus canadensis Moench","species","Plantae","alien","null","present","Slovenia","SVN","Populus canadensis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","[""terrestrial""]"
"Geopora sumneriana (Cooke) M.Torre","species","Fungi","alien","null","present","Slovenia","SVN","Geopora sumneriana","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","[""host""]"
"Solanum physalifolium Rusby","species","Plantae","alien","null","present","Slovenia","SVN","Solanum physalifolium","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Guignardia aesculi (Peck) V.B.Stewart, 1916","species","Fungi","alien","invasive","present","Slovenia","SVN","Phyllosticta paviae","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Phyllostictaceae","[""host""]"
"Puccinia asarina Kunze","species","Fungi","alien","null","present","Slovenia","SVN","Puccinia asarina","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Pucciniaceae","[""host""]"
"Peronospora farinosa (Fr.) Fr.","species","Chromista","alien","null","present","Slovenia","SVN","Peronospora farinosa","Chromista","Oomycota","Peronosporea","Peronosporales","Peronosporaceae","[""host""]"
"Amorpha fruticosa L.","species","Plantae","alien","invasive","present","Slovenia","SVN","Amorpha fruticosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Ptinus bicinctus Sturm, 1837","species","Animalia","alien","null","present","Slovenia","SVN","Ptinus bicinctus","Animalia","Arthropoda","Insecta","Coleoptera","Ptinidae","[""terrestrial""]"
"Phytophthora ramorum Werres, De Cock & Man","species","Chromista","alien","null","present","Slovenia","SVN","Phytophthora ramorum","Chromista","Oomycota","Peronosporea","Peronosporales","Peronosporaceae","[""host""]"
"Lonchura punctulata (Linnaeus, 1758)","species","Animalia","alien","null","present","Slovenia","SVN","Lonchura punctulata","Animalia","Chordata","Aves","Passeriformes","Estrildidae","[""terrestrial""]"
"Mentha piperita L.","species","Plantae","alien","null","present","Slovenia","SVN","Mentha piperita","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Abutilon theophrasti Medik.","species","Plantae","alien","null","present","Slovenia","SVN","Abutilon theophrasti","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
