"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Cleome viscosa L.","species","Plantae","alien","null","present","Solomon Islands","SLB","Arivela viscosa","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Cleomaceae","[""terrestrial""]",
"Setaria palmifolia (J.König) Stapf","species","Plantae","alien","invasive","present","Solomon Islands","SLB","Setaria palmifolia","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Antigonon leptopus Hook. & Arn.","species","Plantae","alien","invasive","present","Solomon Islands","SLB","Antigonon leptopus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]",
"Licuala grandis H.Wendl.","species","Plantae","alien","null","present","Solomon Islands","SLB","Licuala grandis","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","[""terrestrial""]",
"Cardiospermum halicacabum L.","species","Plantae","alien","null","present","Solomon Islands","SLB","Cardiospermum halicacabum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]",
"Macroptilium lathyroides Urb.","species","Plantae","alien","null","present","Solomon Islands","SLB","Macroptilium lathyroides","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Abelmoschus moschatus Medik.","species","Plantae","alien","null","present","Solomon Islands","SLB","Abelmoschus moschatus","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Tephrosia noctiflora Baker","species","Plantae","alien","null","present","Solomon Islands","SLB","Tephrosia noctiflora","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Urochloa subquadripara R.D.Webster (Trin.)","species","Plantae","alien","invasive","present","Solomon Islands","SLB","Brachiaria subquadripara","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Melinis minutiflora P.Beauv.","species","Plantae","alien","null","present","Solomon Islands","SLB","Melinis minutiflora","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Sida rhombifolia L.","species","Plantae","alien","invasive","present","Solomon Islands","SLB","Sida rhombifolia","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Alpinia purpurata K.Schum.","species","Plantae","alien","null","present","Solomon Islands","SLB","Alpinia purpurata","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae","[""terrestrial""]",
"Ipomoea aquatica Forssk.","species","Plantae","alien","invasive","present","Solomon Islands","SLB","Ipomoea aquatica","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial"",""freshwater""]",
"Urochloa maxima R.D.Webster (Jacq.)","species","Plantae","alien","null","present","Solomon Islands","SLB","Panicum maximum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Themeda gigantea (Cav.) Hack. ex Duthie","species","Plantae","alien","null","present","Solomon Islands","SLB","Themeda gigantea","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Spermacoce exilis (L.O.Williams) C.D.Adams ex W.C.Burger & C.M.Taylor","species","Plantae","alien","invasive","present","Solomon Islands","SLB","Spermacoce exilis","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Sida cordifolia L.","species","Plantae","alien","null","present","Solomon Islands","SLB","Sida cordifolia","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Mangifera indica L.","species","Plantae","alien","null","present","Solomon Islands","SLB","Mangifera indica","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","[""terrestrial""]",
"Desmodium tortuosum DC.","species","Plantae","alien","null","present","Solomon Islands","SLB","Desmodium tortuosum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Desmodium heterocarpon DC.","species","Plantae","alien","invasive","present","Solomon Islands","SLB","Desmodium heterocarpon","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Pheidole megacephala (Fabricius, 1793)","species","Animalia","alien","invasive","present","Solomon Islands","SLB","Pheidole megacephala","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]",
