"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Aira cupaniana Guss.","species","Plantae","alien","null","present","South Africa","ZAF","Aira cupaniana","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Eschscholzia californica Cham.","species","Plantae","alien","null","present","South Africa","ZAF","Eschscholzia californica","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]",
"Quercus suber L.","species","Plantae","alien","null","present","South Africa","ZAF","Quercus suber","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","[""terrestrial""]",
"Helianthus annuus","species","Plantae","alien","null","present","South Africa","ZAF","Helianthus annuus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Avena barbata Pott ex Link","species","Plantae","alien","null","present","South Africa","ZAF","Avena barbata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Eremocarpus setigerus (Hook.) Benth.","species","Plantae","alien","null","present","South Africa","ZAF","Croton setigerus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Harrisia balansae (K. Schum.) N.P. Taylor & Zappi","species","Plantae","alien","null","present","South Africa","ZAF","Harrisia balansae","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]",
"Leucanthemum vulgare","species","Plantae","alien","null","present","South Africa","ZAF","Leucanthemum vulgare","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Rumex acetosella subsp. angiocarpus (Murb.) Murb.","species","Plantae","alien","null","present","South Africa","ZAF","Rumex angiocarpus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]",
"Cajanus cajan (L.) Millsp.","species","Plantae","alien","null","present","South Africa","ZAF","Cajanus cajan","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
