"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Eichhornia crassipes Solms","species","Plantae","alien","invasive","present","South Sudan","SSD","Eichhornia crassipes","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae","[""freshwater""]"
"Hippolais olivetorum (Strickland, 1837)","species","Animalia","alien","null","present","South Sudan","SSD","Hippolais olivetorum","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","[""terrestrial""]"
"Columba livia Gmelin, 1789","species","Animalia","alien","null","present","South Sudan","SSD","Columba livia","Animalia","Chordata","Aves","Columbiformes","Columbidae","[""terrestrial""]"
"Spodoptera frugiperda Smith & Abbot, 1797","species","Animalia","alien","invasive","present","South Sudan","SSD","Spodoptera frugiperda","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","[""terrestrial""]"
"Falco fasciinucha Reichenow & Neumann, 1895","species","Animalia","alien","null","present","South Sudan","SSD","Falco fasciinucha","Animalia","Chordata","Aves","Falconiformes","Falconidae","[""terrestrial""]"
"Cursorius cursor (Latham, 1787)","species","Animalia","alien","null","present","South Sudan","SSD","Cursorius cursor","Animalia","Chordata","Aves","Charadriiformes","Glareolidae","[""terrestrial""]"
"Passer domesticus (Linnaeus, 1758)","species","Animalia","alien","null","present","South Sudan","SSD","Passer domesticus","Animalia","Chordata","Aves","Passeriformes","Passeridae","[""terrestrial""]"
"Lantana camara L.","species","Plantae","alien","invasive","present","South Sudan","SSD","Lantana camara","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]"
"Aethina tumida","species","Animalia","alien","invasive","present","South Sudan","SSD","Aethina tumida","Animalia","Arthropoda","Insecta","Coleoptera","Nitidulidae","[""terrestrial""]"
"Prosopis juliflora (Sw.) DC.","species","Plantae","alien","invasive","present","South Sudan","SSD","Prosopis juliflora","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
