"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Bidens frondosa L.","species","Plantae","alien","null","present","Spain","ESP","Bidens frondosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Tradescantia fluminensis Vell.","species","Plantae","alien","null","present","Spain","ESP","Tradescantia fluminensis","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","[""terrestrial""]"
"Saccharum officinarum L.","species","Plantae","alien","null","present","Spain","ESP","Saccharum officinarum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Paratrechina longicornis (Latreille, 1802)","species","Animalia","alien","null","present","Spain","ESP","Paratrechina longicornis","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Aloe arborescens Mill.","species","Plantae","alien","null","present","Spain","ESP","Aloe arborescens","Plantae","Tracheophyta","Liliopsida","Asparagales","Asphodelaceae","[""terrestrial""]"
"Oenothera biennis L.","species","Plantae","alien","null","present","Spain","ESP","Oenothera biennis","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]"
"Oenothera jamesii Torr. & A.Gray","species","Plantae","alien","null","present","Spain","ESP","Oenothera jamesii","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]"
"Freesia refracta (Jacq.) Klatt","species","Plantae","alien","null","present","Spain","ESP","Freesia refracta","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","[""terrestrial""]"
"Mercenaria mercenaria (Linnaeus, 1758)","species","Animalia","alien","null","present","Spain","ESP","Mercenaria mercenaria","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","[""marine""]"
"Dracocephalum thymiflorum L.","species","Plantae","alien","null","present","Spain","ESP","Dracocephalum thymiflorum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Lithobates catesbeianus (Shaw, 1802)","species","Animalia","alien","null","present","Spain","ESP","Lithobates catesbeianus","Animalia","Chordata","Amphibia","Anura","Ranidae","[""terrestrial"",""freshwater""]"
