"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Milax gagates (Draparnaud, 1801)","species","Animalia","alien","null","present","Sri Lanka","LKA","Milax gagates","Animalia","Mollusca","Gastropoda","Stylommatophora","Milacidae","[""terrestrial""]"
"Oncorhynchus mykiss (Walbaum, 1792)","species","Animalia","alien","null","present","Sri Lanka","LKA","Oncorhynchus mykiss","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Ludwigia hyssopifolia (G. Don) Exell","species","Plantae","alien","null","present","Sri Lanka","LKA","Ludwigia hyssopifolia","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]"
"Macfadyena unguis-cati (L.) A.H. Gentry","species","Plantae","alien","null","present","Sri Lanka","LKA","Dolichandra unguis-cati","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","[""terrestrial""]"
"Gambusia holbrooki Girard, 1859","species","Animalia","alien","null","present","Sri Lanka","LKA","Gambusia holbrooki","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish""]"
"Laevicaulis alte (Ferussac, 1821)","species","Animalia","alien","null","present","Sri Lanka","LKA","Laevicaulis alte","Animalia","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","[""terrestrial""]"
"Tithonia diversifolia (Hemsl.) A.Gray","species","Plantae","alien","null","present","Sri Lanka","LKA","Tithonia diversifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Pennisetum thunbergii Kunth","species","Plantae","alien","null","present","Sri Lanka","LKA","Pennisetum thunbergii","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Limnocharis flava (L.) Buchenau","species","Plantae","alien","null","present","Sri Lanka","LKA","Limnocharis flava","Plantae","Tracheophyta","Liliopsida","Alismatales","Alismataceae","[""terrestrial"",""freshwater""]"
"Cynodon dactylon (L.) Pers.","species","Plantae","alien","null","present","Sri Lanka","LKA","Cynodon dactylon","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Aristea ecklonii Baker","species","Plantae","alien","invasive","present","Sri Lanka","LKA","Aristea ecklonii","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","[""terrestrial""]"
"Pheidole megacephala (Fabricius, 1793)","species","Animalia","alien","null","present","Sri Lanka","LKA","Pheidole megacephala","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Mimosa invisa Colla","species","Plantae","alien","null","present","Sri Lanka","LKA","Mimosa invisa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Agave americana L.","species","Plantae","alien","invasive","present","Sri Lanka","LKA","Agave americana","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Tubastraea coccinea Lesson, 1829","species","Animalia","alien","null","present","Sri Lanka","LKA","Tubastraea coccinea","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","[""marine""]"
"Prosopis juliflora (Sw.) DC.","species","Plantae","alien","null","present","Sri Lanka","LKA","Prosopis juliflora","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Aeschynomene indica L.","species","Plantae","alien","invasive","present","Sri Lanka","LKA","Aeschynomene indica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Adiantum raddianum Presl","species","Plantae","alien","invasive","present","Sri Lanka","LKA","Adiantum raddianum","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","[""terrestrial""]"
"Artocarpus altilis (Parkinson) Fosberg","species","Plantae","alien","invasive","present","Sri Lanka","LKA","Artocarpus altilis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Puntius gonionotus (Bleeker, 1849)","species","Animalia","alien","invasive","present","Sri Lanka","LKA","Barbonymus gonionotus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater""]"
"Caesalpinia pulcherrima (L.) Sw.","species","Plantae","alien","invasive","present","Sri Lanka","LKA","Caesalpinia pulcherrima","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Panicum repens L.","species","Plantae","alien","null","present","Sri Lanka","LKA","Panicum repens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Pistia stratiotes L.","species","Plantae","alien","null","present","Sri Lanka","LKA","Pistia stratiotes","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""freshwater""]"
"Passiflora tarminiana Coppens & V.E.Barney","species","Plantae","alien","null","present","Sri Lanka","LKA","Passiflora tarminiana","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]"
"Opuntia dillenii (Ker Gawl.) Haw.","species","Plantae","alien","null","present","Sri Lanka","LKA","Opuntia stricta","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]"
"Acacia longifolia (Andrews) Willd.","species","Plantae","alien","invasive","present","Sri Lanka","LKA","Acacia longifolia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Salvinia minima Bak.","species","Plantae","alien","null","present","Sri Lanka","LKA","Salvinia minima","Plantae","Tracheophyta","Polypodiopsida","Salviniales","Salviniaceae","[""freshwater""]"
"Deroceras reticulatum (O. F. Müller, 1774)","species","Animalia","alien","null","present","Sri Lanka","LKA","Limax reticulatus","Animalia","Mollusca","Gastropoda","Stylommatophora","Agriolimacidae","[""terrestrial""]"
"Clusia rosea Jacq.","species","Plantae","alien","null","present","Sri Lanka","LKA","Clusia rosea","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Clusiaceae","[""terrestrial""]"
"Cinchona pubescens Vahl","species","Plantae","alien","null","present","Sri Lanka","LKA","Cinchona pubescens","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]"
"Mus musculus Linnaeus, 1758","species","Animalia","alien","null","present","Sri Lanka","LKA","Mus musculus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Ludwigia peruviana (L.) Hara","species","Plantae","alien","null","present","Sri Lanka","LKA","Ludwigia peruviana","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial"",""freshwater""]"
"Axonopus fissifolius (Raddi) Kuhlm.","species","Plantae","alien","invasive","present","Sri Lanka","LKA","Axonopus fissifolius","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Miconia calvescens DC.","species","Plantae","alien","null","present","Sri Lanka","LKA","Miconia calvescens","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Melastomataceae","[""terrestrial""]"
"Pennisetum polystachyon J.A. Schultes (L.)","species","Plantae","alien","null","present","Sri Lanka","LKA","Cenchrus polystachios","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Tibouchina urvilleana (DC.) Cogn.","species","Plantae","alien","null","present","Sri Lanka","LKA","Tibouchina urvilleana","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Melastomataceae","[""terrestrial""]"
"Hydrilla verticillata (L.f.) Royle","species","Plantae","alien","null","present","Sri Lanka","LKA","Hydrilla verticillata","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","[""freshwater""]"
"Bubalus bubalis (Linnaeus, 1758)","species","Animalia","alien","invasive","present","Sri Lanka","LKA","Bubalus bubalis","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","[""terrestrial"",""freshwater""]"
"Calophyllum inophyllum L.","species","Plantae","alien","invasive","present","Sri Lanka","LKA","Calophyllum inophyllum","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Calophyllaceae","[""terrestrial""]"
"Danio rerio (Hamilton, 1822)","species","Animalia","alien","null","present","Sri Lanka","LKA","Danio rerio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater""]"
"Trichogaster pectoralis (Regan, 1910)","species","Animalia","alien","null","present","Sri Lanka","LKA","Trichopodus pectoralis","Animalia","Chordata","Actinopterygii","Perciformes","Osphronemidae","[""freshwater""]"
"Pomacea diffusa Blume, 1957","species","Animalia","alien","null","present","Sri Lanka","LKA","Pomacea diffusa","Animalia","Mollusca","Gastropoda","Architaenioglossa","Ampullariidae","[""freshwater""]"
"Ochlandra stridula Thwaites","species","Plantae","alien","null","present","Sri Lanka","LKA","Ochlandra stridula","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Oreochromis niloticus subsp. niloticus","species","Animalia","alien","null","present","Sri Lanka","LKA","Oreochromis niloticus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]"
"Clidemia hirta (L.) D. Don","species","Plantae","alien","null","present","Sri Lanka","LKA","Clidemia hirta","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Melastomataceae","[""terrestrial""]"
"Xiphophorus hellerii Heckel, 1848","species","Animalia","alien","null","present","Sri Lanka","LKA","Xiphophorus hellerii","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish""]"
"Myroxylon balsamum (L.) Harms","species","Plantae","alien","null","present","Sri Lanka","LKA","Myroxylon balsamum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Clarias batrachus (Linnaeus, 1758)","species","Animalia","alien","null","present","Sri Lanka","LKA","Clarias batrachus","Animalia","Chordata","Actinopterygii","Siluriformes","Clariidae","[""freshwater"",""brackish""]"
"Oryctes rhinoceros (Linnaeus, 1758)","species","Animalia","alien","null","present","Sri Lanka","LKA","Oryctes rhinoceros","Animalia","Arthropoda","Insecta","Coleoptera","Dynastidae","[""terrestrial""]"
"Acacia auriculiformis A.Cunn. ex Benth.","species","Plantae","alien","invasive","present","Sri Lanka","LKA","Acacia auriculiformis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Lithobates catesbeianus (Shaw, 1802)","species","Animalia","alien","null","present","Sri Lanka","LKA","Lithobates catesbeianus","Animalia","Chordata","Amphibia","Anura","Ranidae","[""terrestrial"",""freshwater""]"
"Bradybaena similaris (Rang, 1831)","species","Animalia","alien","invasive","present","Sri Lanka","LKA","Bradybaena similaris","Animalia","Mollusca","Gastropoda","Stylommatophora","Camaenidae","[""terrestrial""]"
"Quadrastichus erythrinae Kim, 2004","species","Animalia","alien","null","present","Sri Lanka","LKA","Quadrastichus erythrinae","Animalia","Arthropoda","Insecta","Hymenoptera","Eulophidae","[""terrestrial""]"
"Cuscuta campestris Yunck.","species","Plantae","alien","null","present","Sri Lanka","LKA","Cuscuta pentagona","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""host""]"
"Bambusa vulgaris Schrad.","species","Plantae","alien","invasive","present","Sri Lanka","LKA","Bambusa vulgaris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Casuarina cunninghamiana Miq.","species","Plantae","alien","invasive","present","Sri Lanka","LKA","Casuarina cunninghamiana","Plantae","Tracheophyta","Magnoliopsida","Fagales","Casuarinaceae","[""terrestrial""]"
"Parthenium hysterophorus L.","species","Plantae","alien","null","present","Sri Lanka","LKA","Parthenium hysterophorus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Boerhavia diffusa L.","species","Plantae","alien","invasive","present","Sri Lanka","LKA","Boerhavia diffusa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","[""terrestrial""]"
"Cuscuta chinensis Lam.","species","Plantae","alien","null","present","Sri Lanka","LKA","Cuscuta chinensis","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""host""]"
"Equus asinus Linnaeus, 1758","species","Animalia","alien","null","present","Sri Lanka","LKA","Equus asinus","Animalia","Chordata","Mammalia","Perissodactyla","Equidae","[""terrestrial""]"
"Pomacea canaliculata Lamarck, 1828","species","Animalia","alien","null","present","Sri Lanka","LKA","Pomacea canaliculata","Animalia","Mollusca","Gastropoda","Architaenioglossa","Ampullariidae","[""freshwater""]"
"Sphagneticola trilobata (L.C. Rich.) Pruski","species","Plantae","alien","null","present","Sri Lanka","LKA","Sphagneticola trilobata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Euglandina rosea (Ferussac, 1818)","species","Animalia","alien","null","present","Sri Lanka","LKA","Euglandina rosea","Animalia","Mollusca","Gastropoda","Stylommatophora","Spiraxidae","[""terrestrial""]"
"Raoiella indica Hirst, 1924","species","Animalia","alien","null","present","Sri Lanka","LKA","Raoiella indica","Animalia","Arthropoda","Arachnida","Prostigmata","Tenuipalpidae","[""host""]"
"Gambusia affinis (Baird & Girard, 1853)","species","Animalia","alien","null","present","Sri Lanka","LKA","Gambusia affinis","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish""]"
"Vulpia bromoides (L.) Gray","species","Plantae","alien","null","present","Sri Lanka","LKA","Vulpia bromoides","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Ctenopharyngodon idella (Valenciennes, 1844)","species","Animalia","alien","null","present","Sri Lanka","LKA","Ctenopharyngodon idella","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Ulex europaeus L.","species","Plantae","alien","null","present","Sri Lanka","LKA","Ulex europaeus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Acacia nilotica Schumach. & Thonn.","species","Plantae","alien","invasive","present","Sri Lanka","LKA","Acacia nilotica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Hypostomus plecostomus (Linnaeus, 1758)","species","Animalia","alien","null","present","Sri Lanka","LKA","Hypostomus plecostomus","Animalia","Chordata","Actinopterygii","Siluriformes","Loricariidae","[""freshwater""]"
"Tilapia zillii (Gervais, 1848)","species","Animalia","alien","null","present","Sri Lanka","LKA","Coptodon zillii","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]"
"Achatina fulica (Férussac, 1821)","species","Animalia","alien","invasive","present","Sri Lanka","LKA","Lissachatina fulica","Animalia","Mollusca","Gastropoda","Stylommatophora","Achatinidae","[""terrestrial""]"
"Paratrechina longicornis (Latreille, 1802)","species","Animalia","alien","null","present","Sri Lanka","LKA","Paratrechina longicornis","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Mikania cordata (Burm. f.) B.L.Rob.","species","Plantae","alien","null","present","Sri Lanka","LKA","Mikania cordata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
