"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Albizia procera (Roxb.) Benth.","species","Plantae","alien","null","present","Sudan","SDN","Albizia procera","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Physalis angulata L.","species","Plantae","alien","null","present","Sudan","SDN","Physalis angulata","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Raoiella indica Hirst, 1924","species","Animalia","cryptogenic|uncertain","null","present","Sudan","SDN","Raoiella indica","Animalia","Arthropoda","Arachnida","Prostigmata","Tenuipalpidae","[""host""]"
"Echinochloa crus-galli (L.) P.Beauv.","species","Plantae","alien","null","present","Sudan","SDN","Echinochloa crus-galli","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Moringa oleifera Lam.","species","Plantae","alien","null","present","Sudan","SDN","Moringa oleifera","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Moringaceae","[""terrestrial""]"
"Cosmos sulphureus Cav.","species","Plantae","alien","null","present","Sudan","SDN","Cosmos sulphureus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Mangifera indica L.","species","Plantae","alien","null","present","Sudan","SDN","Mangifera indica","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","[""terrestrial""]"
"Maconellicoccus hirsutus (Green, 1908)","species","Animalia","alien","null","present","Sudan","SDN","Maconellicoccus hirsutus","Animalia","Arthropoda","Insecta","Hemiptera","Pseudococcidae","[""host""]"
"Parkinsonia aculeata L.","species","Plantae","alien","null","present","Sudan","SDN","Parkinsonia aculeata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Senna occidentalis (L.) Link","species","Plantae","alien","null","present","Sudan","SDN","Senna occidentalis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Haematoxylum campechianum L.","species","Plantae","alien","null","present","Sudan","SDN","Haematoxylum campechianum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Cuscuta campestris Yunck.","species","Plantae","alien","null","present","Sudan","SDN","Cuscuta pentagona","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""host""]"
"Melia azedarach L.","species","Plantae","alien","null","present","Sudan","SDN","Melia azedarach","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]"
"Plantago lanceolata L.","species","Plantae","alien","null","present","Sudan","SDN","Plantago lanceolata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Elephantopus mollis Kunth","species","Plantae","alien","null","present","Sudan","SDN","Elephantopus mollis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Acacia mearnsii De Wild.","species","Plantae","alien","null","present","Sudan","SDN","Acacia mearnsii","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Urochloa reptans (L.) Stapf","species","Plantae","alien","null","present","Sudan","SDN","Brachiaria reptans","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Trogoderma granarium Everts, 1898","species","Animalia","alien","null","present","Sudan","SDN","Trogoderma granarium","Animalia","Arthropoda","Insecta","Coleoptera","Dermestidae","[""terrestrial""]"
