"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Cotoneaster laetevirens (Rehder & Wils.) G.Klotz","species","Plantae","alien","null","present","Sweden","SWE","Cotoneaster laetevirens","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Impatientinum asiaticum Nevsky, 1929","species","Animalia","alien","null","present","Sweden","SWE","Impatientinum asiaticum","Animalia","Arthropoda","Insecta","Hemiptera","Aphididae","[""host""]"
"Oxalis regnellii Miquel","species","Plantae","alien","null","present","Sweden","SWE","Oxalis regnellii","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Oxalidaceae","[""terrestrial""]"
"Aproceros leaucopoda Takeuchi, 1939","species","Animalia","alien","invasive","present","Sweden","SWE","Aproceros leaucopoda","Animalia","Arthropoda","Insecta","Hymenoptera","Argidae","[""terrestrial""]"
"Spartina alterniflora x maritima","hybrid_formula","Plantae","alien","null","present","Sweden","SWE","Spartina townsendii","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Tenebroides mauritanicus (Linnaeus, 1758)","species","Animalia","alien","null","present","Sweden","SWE","Tenebroides mauritanicus","Animalia","Arthropoda","Insecta","Coleoptera","Trogossitidae","[""terrestrial""]"
"Ruditapes philippinarum (Adams & Reeves, 1850)","species","Animalia","alien","null","present","Sweden","SWE","Ruditapes philippinarum","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","[""marine""]"
"Otiorhynchus smreczynskii Cmoluch, 1968","species","Animalia","alien","null","present","Sweden","SWE","Otiorhynchus smreczynskii","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","[""terrestrial""]"
"Spiraea x arguta Zabel","hybrid_formula","Plantae","alien","null","present","Sweden","SWE","Spiraea arguta","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Callosobruchus chinensis (Linnaeus, 1758)","species","Animalia","alien","null","present","Sweden","SWE","Callosobruchus chinensis","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","[""terrestrial""]"
"Oxalis dillenii Jacq.","species","Plantae","alien","null","present","Sweden","SWE","Oxalis dillenii","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Oxalidaceae","[""terrestrial""]"
"Erodium moschatum (Burm.f.) L'Hér.","species","Plantae","alien","null","present","Sweden","SWE","Erodium moschatum","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","[""terrestrial""]"
"Sisymbrium volgense M.Bieb. ex E.Fourn.","species","Plantae","alien","null","present","Sweden","SWE","Sisymbrium volgense","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Cornus mas L.","species","Plantae","alien","null","present","Sweden","SWE","Cornus mas","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","[""terrestrial""]"
"Glebionis carinata (Schousb.) Tzvelev","species","Plantae","alien","null","present","Sweden","SWE","Ismelia carinata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Tropaeolum majus L.","species","Plantae","alien","null","present","Sweden","SWE","Tropaeolum majus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Tropaeolaceae","[""terrestrial""]"
"Callistephus chinensis Nees","species","Plantae","alien","null","present","Sweden","SWE","Callistephus chinensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Carpophilus dimidiatus (Fabricius, 1792)","species","Animalia","alien","null","present","Sweden","SWE","Carpophilus dimidiatus","Animalia","Arthropoda","Insecta","Coleoptera","Nitidulidae","[""terrestrial""]"
"Lepidium didymum L.","species","Plantae","alien","null","present","Sweden","SWE","Lepidium didymum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Tinocallis nevskyi Quednau & Heie, 1988","species","Animalia","alien","null","present","Sweden","SWE","Tinocallis nevskyi","Animalia","Arthropoda","Insecta","Hemiptera","Aphididae","[""host""]"
