"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Apium graveolens L.","species","Plantae","alien","null","present","Switzerland","CHE","Apium graveolens","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Amaranthus cruentus L.","species","Plantae","alien","null","present","Switzerland","CHE","Amaranthus cruentus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Callistephus chinensis Nees","species","Plantae","alien","null","present","Switzerland","CHE","Callistephus chinensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Narcissus medioluteus Mill.","species","Plantae","alien","null","present","Switzerland","CHE","Narcissus medioluteus","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","[""terrestrial""]"
"Acer negundo L.","species","Plantae","alien","null","present","Switzerland","CHE","Acer negundo","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]"
"Setaria italica P.Beauv.","species","Plantae","alien","null","present","Switzerland","CHE","Setaria italica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Spiraea chamaedryfolia L.","species","Plantae","alien","null","present","Switzerland","CHE","Spiraea chamaedryfolia","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Phytolacca esculenta Van Houtte","species","Plantae","alien","invasive","present","Switzerland","CHE","Phytolacca acinosa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Phytolaccaceae","[""terrestrial""]"
"Alyssum argenteum All.","species","Plantae","alien","null","present","Switzerland","CHE","Alyssum argenteum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Raphanus sativus L.","species","Plantae","alien","null","present","Switzerland","CHE","Raphanus sativus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Erodium moschatum (Burm.f.) L'Hér.","species","Plantae","alien","null","present","Switzerland","CHE","Erodium moschatum","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","[""terrestrial""]"
"Salvia verticillata L.","species","Plantae","alien","null","present","Switzerland","CHE","Salvia verticillata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Papaver somniferum L.","species","Plantae","alien","null","present","Switzerland","CHE","Papaver somniferum","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Cyperus eragrostis Lam.","species","Plantae","alien","null","present","Switzerland","CHE","Cyperus eragrostis","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Tolpis barbata (L.) Gaertn.","species","Plantae","alien","null","present","Switzerland","CHE","Tolpis barbata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Fallopia sachalinensis (Friedrich Schmidt Petrop.) Ronse Decraene","species","Plantae","alien","invasive","present","Switzerland","CHE","Reynoutria sachalinensis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Ulmus laevis Pall.","species","Plantae","alien","null","present","Switzerland","CHE","Ulmus laevis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Ulmaceae","[""terrestrial""]"
"Egeria densa Planch.","species","Plantae","alien","null","present","Switzerland","CHE","Egeria densa","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","[""freshwater""]"
"Syringa vulgaris L.","species","Plantae","alien","null","present","Switzerland","CHE","Syringa vulgaris","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","[""terrestrial""]"
"Xeranthemum squarrosum Boiss.","species","Plantae","alien","null","present","Switzerland","CHE","Xeranthemum squarrosum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Stachys byzantina K.Koch","species","Plantae","alien","null","present","Switzerland","CHE","Stachys byzantina","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
