"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Callinectes sapidus Rathbun, 1896","species","Animalia","alien","null","present","Syrian Arab Republic","SYR","Callinectes sapidus","Animalia","Arthropoda","Malacostraca","Decapoda","Potamidae","[""marine""]"
"Syrnola fasciata Jickeli, 1882","species","Animalia","alien","null","present","Syrian Arab Republic","SYR","Syrnola fasciata","Animalia","Mollusca","Gastropoda","NOT ASSIGNED","Pyramidellidae","[""marine""]"
"Hydrocotyle ranunculoides L.f.","species","Plantae","alien","null","present","Syrian Arab Republic","SYR","Hydrocotyle ranunculoides","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial"",""freshwater""]"
"Asparagopsis taxiformis (Delile) Trevis.","species","Plantae","alien","null","present","Syrian Arab Republic","SYR","Asparagopsis taxiformis","Plantae","Rhodophyta","Florideophyceae","Bonnemaisoniales","Bonnemaisoniaceae","[""marine""]"
"Sarcopoterium spinosum Spach","species","Plantae","cryptogenic|uncertain","invasive","present","Syrian Arab Republic","SYR","Sarcopoterium spinosum","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Albizia julibrissin Durazz.","species","Plantae","alien","null","present","Syrian Arab Republic","SYR","Albizia julibrissin","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Terapon puta Cuvier, 1829","species","Animalia","alien","null","present","Syrian Arab Republic","SYR","Terapon puta","Animalia","Chordata","Actinopterygii","Perciformes","Terapontidae","[""freshwater"",""brackish"",""marine""]"
"Xanthium spinosum L.","species","Plantae","alien","null","present","Syrian Arab Republic","SYR","Xanthium spinosum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Codium taylorii P.C.Silva","species","Plantae","alien","null","present","Syrian Arab Republic","SYR","Codium taylorii","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Codiaceae","[""marine""]"
"Oreochromis niloticus (Linnaeus, 1758)","species","Animalia","alien","null","present","Syrian Arab Republic","SYR","Oreochromis niloticus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]"
"Tilapia zilii (Gervais, 1848)","species","Animalia","alien","null","present","Syrian Arab Republic","SYR","Coptodon zillii","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]"
"Paratapes textilis (Gmelin, 1791)","species","Animalia","alien","null","present","Syrian Arab Republic","SYR","Paratapes textilis","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","[""marine""]"
"Torpedo sinuspersici Olfers, 1831","species","Animalia","alien","null","present","Syrian Arab Republic","SYR","Torpedo sinuspersici","Animalia","Chordata","Elasmobranchii","Torpediniformes","Torpedinidae","[""brackish"",""marine""]"
"Stephanolepis diaspros Fraser-Brunner, 1940","species","Animalia","alien","null","present","Syrian Arab Republic","SYR","Stephanolepis diaspros","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Monacanthidae","[""marine""]"
"Bulla arabica Malaquias & D. Reid, 2008","species","Animalia","alien","null","present","Syrian Arab Republic","SYR","Bulla arabica","Animalia","Mollusca","Gastropoda","Cephalaspidea","Bullidae","[""marine""]"
"Phallusia nigra Savigny, 1816","species","Animalia","alien","null","present","Syrian Arab Republic","SYR","Phallusia nigra","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","[""marine""]"
"Calcinus tubularis (Linnaeus, 1767","species","Animalia","alien","null","present","Syrian Arab Republic","SYR","Calcinus tubularis","Animalia","Arthropoda","Malacostraca","Decapoda","Diogenidae","[""marine""]"
"Crassostrea gigas (Thunberg, 1793)","species","Animalia","alien","null","present","Syrian Arab Republic","SYR","Magallana gigas","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","[""marine""]"
"Hyporhamphus affinis (Günther, 1866)","species","Animalia","alien","null","present","Syrian Arab Republic","SYR","Hyporhamphus affinis","Animalia","Chordata","Actinopterygii","Beloniformes","Hemiramphidae","[""marine""]"
"Malleus regula (Forsskål, 1775)","species","Animalia","alien","null","present","Syrian Arab Republic","SYR","Malleus regula","Animalia","Mollusca","Bivalvia","Ostreida","Malleidae","[""marine""]"
"Sphyraena flavicauda Rüppell, 1838","species","Animalia","alien","null","present","Syrian Arab Republic","SYR","Sphyraena flavicauda","Animalia","Chordata","Actinopterygii","Perciformes","Sphyraenidae","[""marine""]"
"Marsupenaeus japonicus (Bate, 1888)","species","Animalia","alien","invasive","present","Syrian Arab Republic","SYR","Marsupenaeus japonicus","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","[""terrestrial"",""freshwater""]"
