"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Tribulus longipetalus Forssk.","species","Plantae","alien","null","present","Tajikistan","TJK","Tribulus longipetalus","Plantae","Tracheophyta","Magnoliopsida","Zygophyllales","Zygophyllaceae","[""terrestrial""]"
"Silurus glanis Linnaeus, 1758","species","Animalia","alien","null","present","Tajikistan","TJK","Silurus glanis","Animalia","Chordata","Actinopterygii","Siluriformes","Siluridae","[""freshwater"",""brackish""]"
"Bromus willdenowii Kunth","species","Plantae","alien","null","present","Tajikistan","TJK","Bromus catharticus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Pseudococcus comstocki (Kuwana, 1902)","species","Animalia","alien","null","present","Tajikistan","TJK","Pseudococcus comstocki","Animalia","Arthropoda","Insecta","Hemiptera","Pseudococcidae","[""host""]"
"Myocastor coypus (Molina, 1782)","species","Animalia","alien","invasive","present","Tajikistan","TJK","Myocastor coypus","Animalia","Chordata","Mammalia","Rodentia","Myocastoridae","[""terrestrial"",""freshwater""]"
"Orobanche aegyptiaca Pers.","species","Plantae","alien","null","present","Tajikistan","TJK","Phelipanche aegyptiaca","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","[""terrestrial""]"
"Hypophthalmichthys molitrix (Valenciennes, 1844)","species","Animalia","alien","null","present","Tajikistan","TJK","Hypophthalmichthys molitrix","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Thermopsis dolichocarpa V.Nikitin","species","Plantae","alien","invasive","present","Tajikistan","TJK","Thermopsis dolichocarpa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Acalypha australis L.","species","Plantae","alien","null","present","Tajikistan","TJK","Acalypha australis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Bidens pilosa L.","species","Plantae","alien","null","present","Tajikistan","TJK","Bidens pilosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
