"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Tithonia diversifolia A.Gray","species","Plantae","alien","invasive","present","Timor-Leste","TLS","Tithonia diversifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Vulpia myuros (L.) C.C.Gmel.","species","Plantae","alien","null","present","Timor-Leste","TLS","Vulpia myuros","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Mimosa pudica L.","species","Plantae","alien","invasive","present","Timor-Leste","TLS","Mimosa pudica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Erigeron sumatrensis Retz.","species","Plantae","alien","null","present","Timor-Leste","TLS","Erigeron sumatrensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Manihot carthaginensis subsp. glaziovii (Müll.Arg.) Allem","species","Plantae","alien","null","present","Timor-Leste","TLS","Manihot carthagenensis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Gambusia affinis (Baird & Girard, 1853)","species","Animalia","alien","null","present","Timor-Leste","TLS","Gambusia affinis","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish""]",
"Chloris gayana Kunth","species","Plantae","alien","null","present","Timor-Leste","TLS","Chloris gayana","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Digitaria setigera Roth","species","Plantae","alien","null","present","Timor-Leste","TLS","Digitaria setigera","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Azadirachta indica A.Juss.","species","Plantae","alien","invasive","present","Timor-Leste","TLS","Azadirachta indica","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]",
"Setaria verticillata (L.) P.Beauv.","species","Plantae","alien","null","present","Timor-Leste","TLS","Setaria verticillata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Mesosphaerum suaveolens Kuntze","species","Plantae","alien","invasive","present","Timor-Leste","TLS","Mesosphaerum suaveolens","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Amaranthus cruentus L.","species","Plantae","alien","null","present","Timor-Leste","TLS","Amaranthus cruentus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Pityrogramma calomelanos (L.) Link","species","Plantae","alien","null","present","Timor-Leste","TLS","Pityrogramma calomelanos","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","[""terrestrial""]",
"Amaranthus blitum L.","species","Plantae","alien","null","present","Timor-Leste","TLS","Amaranthus blitum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Angelonia salicariifolia Humb. & Bonpl.","species","Plantae","alien","null","present","Timor-Leste","TLS","Angelonia salicariifolia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]",
"Psidium guajava L.","species","Plantae","alien","null","present","Timor-Leste","TLS","Psidium guajava","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]",
"Cosmos caudatus Kunth","species","Plantae","alien","invasive","present","Timor-Leste","TLS","Cosmos caudatus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Spermacoce ocymoides Burm.f.","species","Plantae","alien","null","present","Timor-Leste","TLS","Spermacoce ocymoides","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
