"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Phaseolus lunatus L.","species","Plantae","cryptogenic|uncertain","null","present","Tonga","TON","Phaseolus lunatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Oreochromis mossambicus (Peters, 1852)","species","Animalia","alien","null","present","Tonga","TON","Oreochromis mossambicus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]",
"Stictocardia tiliifolia Hallier","species","Plantae","cryptogenic|uncertain","null","present","Tonga","TON","Stictocardia tiliifolia","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Duranta erecta L.","species","Plantae","alien","invasive","present","Tonga","TON","Duranta erecta","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]",
"Cordyline fruticosa (L.) A.Chev.","species","Plantae","alien","null","present","Tonga","TON","Cordyline fruticosa","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]",
"Breynia disticha J.R.Forst. & G.Forst.","species","Plantae","alien","null","present","Tonga","TON","Breynia disticha","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Phyllanthaceae","[""terrestrial""]",
"Clidemia hirta D.Don","species","Plantae","alien","null","present","Tonga","TON","Clidemia hirta","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Melastomataceae","[""terrestrial""]",
"Digitaria violascens Link","species","Plantae","cryptogenic|uncertain","null","present","Tonga","TON","Digitaria violascens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Lonicera japonica Thunb.","species","Plantae","alien","null","present","Tonga","TON","Lonicera japonica","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","[""terrestrial""]",
"Syngonium podophyllum Schott","species","Plantae","alien","null","present","Tonga","TON","Syngonium podophyllum","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial""]",
"Ficus microcarpa L.f.","species","Plantae","alien","invasive","present","Tonga","TON","Ficus microcarpa","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]",
"Calliandra calothyrsus Meissner","species","Plantae","alien","null","present","Tonga","TON","Calliandra houstoniana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Macroptilium lathyroides Urb.","species","Plantae","cryptogenic|uncertain","null","present","Tonga","TON","Macroptilium lathyroides","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Broussonetia papyrifera Vent.","species","Plantae","alien","null","present","Tonga","TON","Broussonetia papyrifera","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]",
"Indigofera suffruticosa Mill.","species","Plantae","alien","invasive","present","Tonga","TON","Indigofera suffruticosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Urochloa subquadripara R.D.Webster (Trin.)","species","Plantae","alien","null","present","Tonga","TON","Brachiaria subquadripara","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Crotalaria spectabilis Roth","species","Plantae","cryptogenic|uncertain","null","present","Tonga","TON","Crotalaria spectabilis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Chamaecrista nictitans Moench","species","Plantae","alien","invasive","present","Tonga","TON","Chamaecrista nictitans","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Synedrella nodiflora Gaertn.","species","Plantae","alien","invasive","present","Tonga","TON",,,,,,,,
"Asparagus plumosus Baker","species","Plantae","alien","invasive","present","Tonga","TON","Asparagus setaceus","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]",
"Passiflora suberosa L.","species","Plantae","alien","invasive","present","Tonga","TON","Passiflora suberosa","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]",
"Crassostrea gigas (Thunberg, 1793)","species","Animalia","alien","null","present","Tonga","TON","Magallana gigas","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","[""marine""]",
"Ipomoea hederifolia L.","species","Plantae","alien","invasive","present","Tonga","TON","Ipomoea hederifolia","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Passiflora maliformis L.","species","Plantae","alien","invasive","present","Tonga","TON","Passiflora maliformis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]",
"Ipomoea batatas (L.) Lam.","species","Plantae","alien","null","present","Tonga","TON","Ipomoea batatas","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Jatropha curcas L.","species","Plantae","alien","invasive","present","Tonga","TON","Jatropha curcas","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Euphorbia peplus L.","species","Plantae","cryptogenic|uncertain","null","present","Tonga","TON","Euphorbia peplus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Falcataria moluccana (Miq.) Barneby & J.W.Grimes","species","Plantae","alien","null","present","Tonga","TON","Falcataria moluccana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Bauhinia monandra Kurz","species","Plantae","alien","invasive","present","Tonga","TON","Bauhinia monandra","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Galactia tenuiflora Willd. ex Wight & Arn.","species","Plantae","alien","invasive","present","Tonga","TON","Galactia tenuiflora","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Crotalaria pallida Aiton","species","Plantae","cryptogenic|uncertain","null","present","Tonga","TON","Crotalaria pallida","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Hedychium flavescens Carey ex Rosc.","species","Plantae","alien","invasive","present","Tonga","TON","Hedychium flavescens","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae","[""terrestrial""]",
"Cyperus cyperoides Kuntze","species","Plantae","alien","null","present","Tonga","TON","Cyperus cyperoides","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Nicandra physalodes (L.) Gaertn.","species","Plantae","cryptogenic|uncertain","null","present","Tonga","TON","Nicandra physalodes","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
