"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Flacourtia indica (Burm.f.) Merr.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Flacourtia indica","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","[""terrestrial""]"
"Paspalum fasciculatum Flugge","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Paspalum fasciculatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Leucaena leucocephala (Lam.) de Wit","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Leucaena leucocephala","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Acacia auriculiformis Benth.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Acacia auriculiformis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Sida acuta Burm.f.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Sida acuta","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Sporobolus indicus (L.) R.Br.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Sporobolus indicus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Eclipta alba Hassk.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Eclipta alba","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Zoobotryon verticillatum (Delle Chiaje, 1822)","species","Animalia","alien","null","present","Trinidad and Tobago","TTO","Amathia verticillata","Animalia","Bryozoa","Gymnolaemata","Ctenostomatida","Vesiculariidae","[""terrestrial"",""freshwater""]"
"Tarebia granifera (Lamarck, 1816)","species","Animalia","alien","invasive","present","Trinidad and Tobago","TTO","Tarebia granifera","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Thiaridae","[""freshwater""]"
"Eriobotrya japonica (Thunb.) Lindl.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Eriobotrya japonica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Eichhornia crassipes Solms","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Eichhornia crassipes","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae","[""freshwater""]"
"Swietenia macrophylla King","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Swietenia macrophylla","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]"
"Caladium bicolor (Aiton) Vent.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Caladium bicolor","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial""]"
"Oreochromis niloticus (Linnaeus, 1758)","species","Animalia","alien","null","present","Trinidad and Tobago","TTO","Oreochromis niloticus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]"
"Anolis extremus Garman, 1887","species","Animalia","alien","null","present","Trinidad and Tobago","TTO","Anolis extremus","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","[""terrestrial""]"
"Rottboellia cochinchinensis (Lour.) Clayton","species","Plantae","alien","invasive","present","Trinidad and Tobago","TTO","Rottboellia cochinchinensis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Copella arnoldi (Regan, 1912)","species","Animalia","alien","null","present","Trinidad and Tobago","TTO","Copella arnoldi","Animalia","Chordata","Actinopterygii","Characiformes","Lebiasinidae","[""freshwater""]"
"Aleurites moluccanus Willd.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Aleurites moluccanus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Hemibrycon ocellifer (Steindachner, 1882)","species","Animalia","alien","null","present","Trinidad and Tobago","TTO","Hemigrammus ocellifer","Animalia","Chordata","Actinopterygii","Characiformes","Characidae","[""freshwater""]"
"Peperomia pellucida Kunth","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Peperomia pellucida","Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","[""terrestrial""]"
"Pterocarpus indicus Willd.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Pterocarpus indicus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Euphorbia hirta L.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Euphorbia hirta","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Columba livia Gmelin, 1789","species","Animalia","alien","invasive","present","Trinidad and Tobago","TTO","Columba livia","Animalia","Chordata","Aves","Columbiformes","Columbidae","[""terrestrial""]"
"Cyperus rotundus L.","species","Plantae","alien","invasive","present","Trinidad and Tobago","TTO","Cyperus rotundus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Strumigenys emmae (Emery, 1890)","species","Animalia","alien","null","present","Trinidad and Tobago","TTO","Pyramica emmae","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Pheidole megacephala (Fabricius, 1793)","species","Animalia","alien","null","present","Trinidad and Tobago","TTO","Pheidole megacephala","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Omobranchus punctatus (Valenciennes, 1836)","species","Animalia","alien","null","present","Trinidad and Tobago","TTO","Omobranchus punctatus","Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae","[""brackish"",""marine""]"
"Tephrosia candida DC.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Tephrosia candida","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Axonopus compressus (Sw.) P.Beauv.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Axonopus compressus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Solenopsis geminata (Fabricius, 1804)","species","Animalia","alien","invasive","present","Trinidad and Tobago","TTO","Solenopsis geminata","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Adiantum raddianum C.Presl","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Doryopteris raddiana","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","[""terrestrial""]"
"Brachiaria platyphylla (Munro ex C.Wright) Nash","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Brachiaria platyphylla","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Paspalum conjugatum P.J.Bergius","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Paspalum conjugatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Inga vera Willd.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Inga vera","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Melothria guadalupensis (Sprengel) Cogn.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Melothria pendula","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","[""terrestrial""]"
"Boerhaavia diffusa L.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Boerhaavia diffusa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","[""terrestrial""]"
"Anolis trinitatis Reinhardt & Lütken, 1862","species","Animalia","alien","null","present","Trinidad and Tobago","TTO","Anolis trinitatis","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","[""terrestrial""]"
"Tectona grandis L.f.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Tectona grandis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Amaranthus dubius Mart.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Amaranthus dubius","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Digitaria horizontalis Willd.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Digitaria horizontalis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Paspalum paniculatum L.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Paspalum paniculatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Oreochromis mossambicus (Peters, 1852)","species","Animalia","alien","null","present","Trinidad and Tobago","TTO","Oreochromis mossambicus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]"
"Pterocarpus macrocarpus Kurz","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Pterocarpus macrocarpus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Mecardonia dianthera (Sw.) Pennell","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Mecardonia procumbens","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Nannostomus unifasciatus Steindachner, 1876","species","Animalia","alien","null","present","Trinidad and Tobago","TTO","Nannostomus unifasciatus","Animalia","Chordata","Actinopterygii","Characiformes","Lebiasinidae","[""freshwater""]"
"Spigelia anthelmia L.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Spigelia anthelmia","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Loganiaceae","[""terrestrial""]"
"Euphorbia hypericifolia L.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Euphorbia hypericifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Hyptis atrorubens Poit.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Hyptis atrorubens","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Parthenium hysterophorus L.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Parthenium hysterophorus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Lygodium venustum Sw.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Lygodium venustum","Plantae","Tracheophyta","Polypodiopsida","Schizaeales","Lygodiaceae","[""terrestrial""]"
"Asclepias curassavica L.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Asclepias curassavica","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Momordica charantia L.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Momordica charantia","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","[""terrestrial""]"
"Albizia procera (Roxb.) Benth.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Albizia procera","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Manilkara zapota (L.) P.Royen","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Manilkara zapota","Plantae","Tracheophyta","Magnoliopsida","Ericales","Sapotaceae","[""terrestrial""]"
"Cardiocondyla emeryi Forel, 1881","species","Animalia","alien","null","present","Trinidad and Tobago","TTO","Cardiocondyla emeryi","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Pyrrhulina laeta (Cope, 1872)","species","Animalia","alien","null","present","Trinidad and Tobago","TTO","Pyrrhulina laeta","Animalia","Chordata","Actinopterygii","Characiformes","Lebiasinidae","[""freshwater""]"
"Poecilia sphenops Valenciennes, 1846","species","Animalia","alien","null","present","Trinidad and Tobago","TTO","Poecilia sphenops","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish""]"
"Hoplias malabaricus (Bloch, 1794)","species","Animalia","alien","null","present","Trinidad and Tobago","TTO","Hoplias malabaricus","Animalia","Chordata","Actinopterygii","Characiformes","Erythrinidae","[""freshwater""]"
"Fimbristylis miliacea (L.) Vahl","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Fimbristylis quinquangularis","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Streptopelia decaocto (Frivaldszky, 1838)","species","Animalia","alien","null","present","Trinidad and Tobago","TTO","Streptopelia decaocto","Animalia","Chordata","Aves","Columbiformes","Columbidae","[""terrestrial""]"
"Persea americana Mill.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Persea americana","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","[""terrestrial""]"
"Jatropha curcas L.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Jatropha curcas","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Tridax procumbens L.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Tridax procumbens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Jussiaea linifolia Vahl","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Ludwigia hyssopifolia","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]"
"Desmodium frutescens Schindl.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Desmodium incanum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Tapinoma melanocephalum (Fabricius, 1793)","species","Animalia","alien","null","present","Trinidad and Tobago","TTO","Tapinoma melanocephalum","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Terminalia catappa L.","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Terminalia catappa","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Combretaceae","[""terrestrial""]"
"Artocarpus altilis (Parkinson) Fosberg","species","Plantae","alien","null","present","Trinidad and Tobago","TTO","Artocarpus altilis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
