"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Cyperus rotundus L.","species","Plantae","alien","invasive","present","Tunisia","TUN","Cyperus rotundus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Scardinius erythrophthalmus (Linnaeus, 1758)","species","Animalia","alien","null","present","Tunisia","TUN","Scardinius erythrophthalmus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Libinia dubia H. Milne Edwards, 1834","species","Animalia","alien","invasive","present","Tunisia","TUN","Libinia dubia","Animalia","Arthropoda","Malacostraca","Decapoda","Epialtidae","[""marine""]"
"Pinus pinaster Aiton","species","Plantae","alien","null","present","Tunisia","TUN","Pinus pinaster","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Melibe viridis (Kelaart, 1858)","species","Animalia","alien","null","present","Tunisia","TUN","Melibe viridis","Animalia","Mollusca","Gastropoda","Nudibranchia","Tethydidae","[""marine""]"
"Datura ferox L.","species","Plantae","alien","invasive","present","Tunisia","TUN","Datura ferox","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Fulvia fragilis (Forsskål in Niebuhr, 1775)","species","Animalia","alien","invasive","present","Tunisia","TUN","Fulvia fragilis","Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","[""marine""]"
"Seiridium cardinale (W.W. Wagener) B. Sutton & I.A.S. Gibson, 1972","species","Fungi","alien","null","present","Tunisia","TUN","Seiridium cardinale","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Pestalotiopsidaceae","[""host""]"
"Elamena mathoei (Desmarest, 1823)","species","Animalia","alien","null","present","Tunisia","TUN","Elamena mathoei","Animalia","Arthropoda","Malacostraca","Decapoda","Hymenosomatidae","[""marine""]"
"Casuarina equisetifolia L.","species","Plantae","alien","invasive","present","Tunisia","TUN","Casuarina equisetifolia","Plantae","Tracheophyta","Magnoliopsida","Fagales","Casuarinaceae","[""terrestrial""]"
"Globodera pallida (Stone, 1973)","species","Animalia","alien","null","present","Tunisia","TUN","Globodera pallida","Animalia","Nematoda","Secernentea","Tylenchida","Heteroderidae","[""host""]"
"Ipomoea aquatica Forsk.","species","Plantae","alien","invasive","present","Tunisia","TUN","Ipomoea aquatica","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial"",""freshwater""]"
"Monetaria annulus (Linnaeus, 1758)","species","Animalia","alien","null","present","Tunisia","TUN","Monetaria annulus","Animalia","Mollusca","Gastropoda","Littorinimorpha","Cypraeidae","[""marine""]"
"Pinctada radiata (Leach, 1814)","species","Animalia","alien","invasive","present","Tunisia","TUN","Pinctada imbricata","Animalia","Mollusca","Bivalvia","Ostreida","Pteriidae","[""marine""]"
"Hypophthalmichthys molitrix (Valenciennes, 1844)","species","Animalia","alien","null","present","Tunisia","TUN","Hypophthalmichthys molitrix","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Ficopomatus enigmaticus (Fauvel, 1923)","species","Animalia","alien","invasive","present","Tunisia","TUN","Ficopomatus enigmaticus","Animalia","Annelida","Polychaeta","Sabellida","Serpulidae","[""freshwater"",""brackish"",""marine""]"
"Alexandrium kutnerae (Balech, 1979) Balech, 1985","species","Chromista","alien","null","present","Tunisia","TUN","Alexandrium kutnerae","Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Gonyaulacaceae","[""marine""]"
"Nothoscordum gracile (Aiton) Stearn","species","Plantae","alien","null","present","Tunisia","TUN","Nothoscordum gracile","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","[""terrestrial""]"
"Musculista senhousia (Benson in Cantor, 1842)","species","Animalia","alien","invasive","present","Tunisia","TUN","Arcuatula senhousia","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","[""marine""]"
"Oryctes agamemnon Burmeister, 1847","species","Animalia","alien","invasive","present","Tunisia","TUN","Oryctes agamemnon","Animalia","Arthropoda","Insecta","Coleoptera","Dynastidae","[""terrestrial""]"
"Artemia franciscana Kellogg, 1906","species","Animalia","alien","invasive","present","Tunisia","TUN","Artemia franciscana","Animalia","Arthropoda","Branchiopoda","Anostraca","Artemiidae","[""freshwater"",""brackish""]"
"Leucaena leucocephala (Lam.) de Wit","species","Plantae","alien","invasive","present","Tunisia","TUN","Leucaena leucocephala","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Cryphonectria parasitica (Murrill) M.E. Barr, 1978","species","Fungi","alien","invasive","present","Tunisia","TUN","Cryphonectria parasitica","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Cryphonectriaceae","[""host""]"
"Alpheus lobidens De Haan, 1850","species","Animalia","alien","null","present","Tunisia","TUN","Alpheus lobidens","Animalia","Arthropoda","Malacostraca","Decapoda","Alpheidae","[""marine""]"
"Erosaria turdus (Lamarck, 1810)","species","Animalia","alien","invasive","present","Tunisia","TUN","Erosaria turdus","Animalia","Mollusca","Gastropoda","Littorinimorpha","Cypraeidae","[""marine""]"
"Ehrharta calycina Sm.","species","Plantae","alien","invasive","present","Tunisia","TUN","Ehrharta calycina","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Hemiramphus far (Forsskål, 1775)","species","Animalia","alien","null","present","Tunisia","TUN","Hemiramphus far","Animalia","Chordata","Actinopterygii","Beloniformes","Hemiramphidae","[""brackish"",""marine""]"
"Taraxacum officinale Weber","species","Plantae","alien","null","present","Tunisia","TUN","Taraxacum officinale","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Cerithium scabridum Philippi, 1848","species","Animalia","alien","null","present","Tunisia","TUN","Cerithium scabridum","Animalia","Mollusca","Gastropoda","Caenogastropoda","Cerithiidae","[""marine""]"
"Cheilopogon furcatus (Mitchill, 1815)","species","Animalia","alien","null","present","Tunisia","TUN","Cheilopogon furcatus","Animalia","Chordata","Actinopterygii","Beloniformes","Exocoetidae","[""marine""]"
"Microcosmus squamiger Michaelsen, 1927","species","Animalia","alien","null","present","Tunisia","TUN","Microcosmus squamiger","Animalia","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","[""marine""]"
"Percnon gibbesi (H. Milne Edwards, 1853)","species","Animalia","alien","invasive","present","Tunisia","TUN","Percnon gibbesi","Animalia","Arthropoda","Malacostraca","Decapoda","Percnidae","[""marine""]"
"Ceratitis capitata (Wiedemann, 1824)","species","Animalia","alien","invasive","present","Tunisia","TUN","Ceratitis capitata","Animalia","Arthropoda","Insecta","Diptera","Tephritidae","[""terrestrial""]"
"Conyza canadensis (L.) Cronquist","species","Plantae","alien","invasive","present","Tunisia","TUN","Erigeron canadensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Dactyloctenium aegyptium (L.) Willd.","species","Plantae","alien","invasive","present","Tunisia","TUN","Dactyloctenium aegyptium","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Caulerpa taxifolia (M.Vahl) C.Agardh, 1817","species","Plantae","alien","invasive","present","Tunisia","TUN","Caulerpa taxifolia","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","[""marine""]"
"Paracerceis sculpta (Holmes, 1904)","species","Animalia","alien","null","present","Tunisia","TUN","Paracerceis sculpta","Animalia","Arthropoda","Malacostraca","Isopoda","Sphaeromatidae","[""marine""]"
