"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Ganonema farinosum (J.V.Lamour.) K.C.Fan & Y.C.Wang","species","Plantae","cryptogenic|uncertain","null","present","Turkey","TUR","Ganonema farinosum","Plantae","Rhodophyta","Florideophyceae","Nemaliales","Liagoraceae","[""marine""]"
"Dysphania multifida (L.) Mosyakin & Clemants","species","Plantae","alien","invasive","present","Turkey","TUR","Dysphania multifida","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Finella pupoides A.Adams, 1860","species","Animalia","alien","null","present","Turkey","TUR","Finella pupoides","Animalia","Mollusca","Gastropoda","Caenogastropoda","Scaliolidae","[""marine""]"
"Tinca tinca (Linnaeus, 1758)","species","Animalia","native|alien","invasive","present","Turkey","TUR","Tinca tinca","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Aesculus carnea Hayne","species","Plantae","alien","null","present","Turkey","TUR","Aesculus carnea","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]"
"Miliolinella hybrida (Terquem, 1878)","species","Chromista","alien","null","present","Turkey","TUR","Miliolinella hybrida","Chromista","Foraminifera","Tubothalamea","Miliolida","Hauerinidae","[""marine""]"
"Polycirrus twisti Potts, 1928","species","Animalia","alien","null","present","Turkey","TUR","Polycirrus twisti","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","[""marine""]"
"Allium triquetrum L.","species","Plantae","alien","null","present","Turkey","TUR","Allium triquetrum","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","[""terrestrial""]"
"Alburnus chalcoides (Güldenstädt, 1772)","species","Animalia","native|alien","null","present","Turkey","TUR","Alburnus chalcoides","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Notomastus aberans Day, 1957","species","Animalia","alien","null","present","Turkey","TUR","Notomastus aberans","Animalia","Annelida","Polychaeta","NOT ASSIGNED","Capitellidae","[""marine""]"
"Monocorophium sextonae (Crawford, 1937)","species","Animalia","alien","null","present","Turkey","TUR","Monocorophium sextonae","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","[""marine""]"
"Melibe viridis (Kelaart, 1858)","species","Animalia","alien","null","present","Turkey","TUR","Melibe viridis","Animalia","Mollusca","Gastropoda","Nudibranchia","Tethydidae","[""marine""]"
"Corythucha arcuata (Say, 1832)","species","Animalia","alien","null","present","Turkey","TUR","Corythucha arcuata","Animalia","Arthropoda","Insecta","Hemiptera","Tingidae","[""host""]"
"Scoletoma debilis (Grube, 1878)","species","Animalia","alien","null","present","Turkey","TUR","Scoletoma debilis","Animalia","Annelida","Polychaeta","Eunicida","Lumbrineridae","[""marine""]"
"Ips typographus (C.Linnaeus, 1758)","species","Animalia","alien","null","present","Turkey","TUR","Ips typographus","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","[""terrestrial""]"
"Metapenaeopsis mogiensis consobrina (Nobili, 1904)","subspecies","Animalia","alien","null","present","Turkey","TUR","Metapenaeopsis mogiensis","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","[""marine""]"
"Callistemon viminalis G.Don","species","Plantae","alien","null","present","Turkey","TUR","Callistemon viminalis","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Pherusa saldanha Day, 1961","species","Animalia","alien","null","present","Turkey","TUR","Pherusa saldanha","Animalia","Annelida","Polychaeta","Terebellida","Flabelligeridae","[""marine""]"
"Sporobolus indicus R.Br.","species","Plantae","alien","null","present","Turkey","TUR","Sporobolus indicus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Paracartia grani Sars G.O., 1904","species","Animalia","alien","null","present","Turkey","TUR","Paracartia grani","Animalia","Arthropoda","Hexanauplia","Calanoida","Acartiidae","[""marine""]"
"Champsodon nudivittis (Ogilby, 1895)","species","Animalia","alien","null","present","Turkey","TUR","Champsodon nudivittis","Animalia","Chordata","Actinopterygii","Perciformes","Champsodontidae","[""marine""]"
"Monalysidium acicularis (Batsch, 1791)","species","Chromista","alien","invasive","present","Turkey","TUR","Monalysidium acicularis","Chromista","Foraminifera","Tubothalamea","Miliolida","Peneroplidae","[""marine""]"
"Prionospio saccifera Mackie & Hartley, 1990","species","Animalia","alien","invasive","present","Turkey","TUR","Prionospio saccifera","Animalia","Annelida","Polychaeta","Spionida","Spionidae","[""marine""]"
"Pista unibranchia Day, 1963","species","Animalia","alien","null","present","Turkey","TUR","Pista unibranchia","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","[""marine""]"
"Sorghum bicolor (L.) Moench","species","Plantae","alien","null","present","Turkey","TUR","Sorghum bicolor","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Silurus glanis Linnaeus, 1758","species","Animalia","native|alien","null","present","Turkey","TUR","Silurus glanis","Animalia","Chordata","Actinopterygii","Siluriformes","Siluridae","[""freshwater"",""brackish""]"
"Gleditsia triacanthos L.","species","Plantae","alien","invasive","present","Turkey","TUR","Gleditsia triacanthos","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Erythrina flabelliformis Kearney","species","Plantae","alien","invasive","present","Turkey","TUR","Erythrina flabelliformis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Plumbago auriculata Lam.","species","Plantae","alien","null","present","Turkey","TUR","Plumbago auriculata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Plumbaginaceae","[""terrestrial""]"
"Phyllocnistis citrella Stainton, 1856","species","Animalia","alien","null","present","Turkey","TUR","Phyllocnistis citrella","Animalia","Arthropoda","Insecta","Lepidoptera","Gracillariidae","[""terrestrial""]"
"Amphiroa rigida J.V.Lamour.","species","Plantae","alien","null","present","Turkey","TUR","Amphiroa rigida","Plantae","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","[""marine""]"
"Anadara inaequivalvis (Bruguière, 1789)","species","Animalia","alien","null","present","Turkey","TUR","Anadara inaequivalvis","Animalia","Mollusca","Bivalvia","Arcida","Arcidae","[""marine""]"
