"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Medicago lupulina L.","species","Plantae","alien","null","present","Turkmenistan","TKM","Medicago lupulina","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Acartia tonsa Dana, 1849","species","Animalia","alien","null","present","Turkmenistan","TKM","Acartia tonsa","Animalia","Arthropoda","Hexanauplia","Calanoida","Acartiidae","[""brackish"",""marine""]"
"Gambusia affinis (Baird & Girard, 1853)","species","Animalia","alien","null","present","Turkmenistan","TKM","Gambusia affinis","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish""]"
"Atractosteus spatula (Lacepède, 1803)","species","Animalia","alien","null","present","Turkmenistan","TKM","Atractosteus spatula","Animalia","Chordata","Actinopterygii","Lepisosteiformes","Lepisosteidae","[""freshwater"",""brackish""]"
"Orobanche cumana Wallr.","species","Plantae","alien","null","present","Turkmenistan","TKM","Orobanche cumana","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","[""terrestrial""]"
"Neodiscodes sp.","species","Animalia","alien","null","present","Turkmenistan","TKM","Neodiscodes sp.","Animalia","Arthropoda","Insecta","Hymenoptera","Encyrtidae","[""terrestrial""]"
"Rhinogobius similis Gill, 1859","species","Animalia","alien","null","present","Turkmenistan","TKM","Rhinogobius similis","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","[""freshwater""]"
"Cynodon dactylon (L.) Pers.","species","Plantae","alien","null","present","Turkmenistan","TKM","Cynodon dactylon","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Phyllocnistis citrella Stainton, 1856","species","Animalia","alien","invasive","present","Turkmenistan","TKM","Phyllocnistis citrella","Animalia","Arthropoda","Insecta","Lepidoptera","Gracillariidae","[""terrestrial""]"
"Hemiculter leucisculus (Basilewsky, 1855)","species","Animalia","alien","invasive","present","Turkmenistan","TKM","Hemiculter leucisculus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Allotropa convexifrons Muesebeck, 1943","species","Animalia","alien","null","present","Turkmenistan","TKM","Allotropa convexifrons","Animalia","Arthropoda","Insecta","Hymenoptera","Platygastridae","[""terrestrial""]"
"Pleuronectes flesus luscus Pallas, 1814","species","Animalia","alien","null","present","Turkmenistan","TKM","Platichthys flesus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","[""freshwater"",""brackish"",""marine""]"
"Abbottina rivularis (Basilewsky, 1855)","species","Animalia","alien","null","present","Turkmenistan","TKM","Abbottina rivularis","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Paramysis lacustris (Czerniavsky, 1882)","species","Animalia","alien","null","present","Turkmenistan","TKM","Paramysis lacustris","Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","[""marine""]"
"Abra ovata (Philippi, 1836)","species","Animalia","alien","null","present","Turkmenistan","TKM","Abra segmentum","Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","[""marine""]"
"Carpomia pardalina (Bigot, 1891)","species","Animalia","alien","invasive","present","Turkmenistan","TKM","Carpomia pardalina","Animalia","Arthropoda","Insecta","Diptera","Tephritidae","[""terrestrial""]"
"Liza aurata (Risso, 1810)","species","Animalia","alien","null","present","Turkmenistan","TKM","Chelon auratus","Animalia","Chordata","Actinopterygii","Mugiliformes","Mugilidae","[""freshwater"",""brackish"",""marine""]"
"Leptomastix dactylopii Howard, 1885","species","Animalia","alien","null","present","Turkmenistan","TKM","Leptomastix dactylopii","Animalia","Arthropoda","Insecta","Hymenoptera","Encyrtidae","[""terrestrial""]"
"Symphyotrichum novi-belgii (L.) G.L.Nesom","species","Plantae","alien","null","present","Turkmenistan","TKM","Symphyotrichum novi-belgii","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Xanthium spinosum L.","species","Plantae","alien","null","present","Turkmenistan","TKM","Xanthium spinosum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Sympherobius sanctus Tjeder, 1940","species","Animalia","alien","null","present","Turkmenistan","TKM","Sympherobius sanctus","Animalia","Arthropoda","Insecta","Neuroptera","Hemerobiidae","[""terrestrial""]"
"Allotropa burrelli Muesebeck, 1942","species","Animalia","alien","null","present","Turkmenistan","TKM","Allotropa burrelli","Animalia","Arthropoda","Insecta","Hymenoptere","Platygastridae","[""terrestrial""]"
"Eleusine indica (L.) Gaertn.","species","Plantae","alien","null","present","Turkmenistan","TKM","Eleusine indica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Ailanthus altissima (Mill.) Swingle","species","Plantae","alien","invasive","present","Turkmenistan","TKM","Ailanthus altissima","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Simaroubaceae","[""terrestrial""]"
"Aristichthys nobilis (Richardson, 1845)","species","Animalia","alien","null","present","Turkmenistan","TKM","Hypophthalmichthys nobilis","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Channa argus (Cantor, 1842)","species","Animalia","alien","null","present","Turkmenistan","TKM","Channa argus","Animalia","Chordata","Actinopterygii","Perciformes","Channidae","[""freshwater""]"
"Holcothorax testaceipes (Ratzeburg, 1848)","species","Animalia","alien","null","present","Turkmenistan","TKM","Holcothorax testaceipes","Animalia","Arthropoda","Insecta","Hymenoptera","Encyrtidae","[""terrestrial""]"
"Rhinogobius brunneus (Temminck & Schlegel, 1845)","species","Animalia","alien","null","present","Turkmenistan","TKM","Rhinogobius brunneus","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","[""freshwater"",""brackish"",""marine""]"
"Cyprinus carpio Linnaeus, 1758","species","Animalia","alien","null","present","Turkmenistan","TKM","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
