"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Euphorbia thymifolia L.","species","Plantae","alien","null","present","Tuvalu","TUV","Euphorbia thymifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Sargassum polycystum C.Ag.","species","Chromista","alien","invasive","present","Tuvalu","TUV","Sargassum polycystum","Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","[""marine""]",
"Euphorbia cyathophora Murray","species","Plantae","alien","null","present","Tuvalu","TUV","Euphorbia heterophylla","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Fleurya interrupta (L.) Wight, 1853","species","Plantae","alien","null","present","Tuvalu","TUV","Laportea interrupta","Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","[""terrestrial""]",
"Cyanthillium cinereum (L.) H.Rob.","species","Plantae","alien","null","present","Tuvalu","TUV","Cyanthillium cinereum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Chamaesyce hirta (L.) Millsp.","species","Plantae","alien","null","present","Tuvalu","TUV","Euphorbia hirta","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Mikania micrantha Kunth","species","Plantae","alien","null","present","Tuvalu","TUV","Mikania micrantha","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Fimbristylis dichotoma (L.) Vahl","species","Plantae","alien","null","present","Tuvalu","TUV","Fimbristylis dichotoma","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Paratrechina longicornis (Latreille, 1802)","species","Animalia","alien","null","present","Tuvalu","TUV","Paratrechina longicornis","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]",
"Eclipta prostrata L.","species","Plantae","alien","null","present","Tuvalu","TUV","Eclipta prostrata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Colocasia esculenta (L.) Schott","species","Plantae","alien","null","present","Tuvalu","TUV","Colocasia esculenta","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial"",""freshwater""]",
"Eleocharis geniculata (L.) Roem. & Schult.","species","Plantae","alien","null","present","Tuvalu","TUV","Eleocharis geniculata","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Digitaria setigera Roth","species","Plantae","alien","null","present","Tuvalu","TUV","Digitaria setigera","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Mus musculus Linnaeus, 1758","species","Animalia","alien","null","present","Tuvalu","TUV","Mus musculus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]",
"Nephrolepis exaltata (L.) Schott","species","Plantae","alien","null","present","Tuvalu","TUV","Nephrolepis exaltata","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Nephrolepidaceae","[""terrestrial""]",
"Oldenlandia corymbosa L.","species","Plantae","alien","null","present","Tuvalu","TUV","Oldenlandia corymbosa","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Tridax procumbens L.","species","Plantae","alien","null","present","Tuvalu","TUV","Tridax procumbens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Cynodon dactylon (L.) Pers.","species","Plantae","alien","null","present","Tuvalu","TUV","Cynodon dactylon","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Paspalum fimbriatum Kunth","species","Plantae","alien","null","present","Tuvalu","TUV","Paspalum fimbriatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Physalis angulata L.","species","Plantae","alien","null","present","Tuvalu","TUV","Physalis angulata","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Nicotiana tabacum L.","species","Plantae","alien","null","present","Tuvalu","TUV","Nicotiana tabacum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Macroptilium lathyroides (L.) Urb.","species","Plantae","alien","null","present","Tuvalu","TUV","Macroptilium lathyroides","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Portulaca oleracea L.","species","Plantae","alien","null","present","Tuvalu","TUV","Portulaca oleracea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Portulacaceae","[""terrestrial""]",
"Euphorbia hypericifolia L.","species","Plantae","alien","null","present","Tuvalu","TUV","Euphorbia hypericifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Emilia fosbergii Nicolson","species","Plantae","alien","null","present","Tuvalu","TUV","Emilia fosbergii","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Paspalum conjugatum P.J.Bergius","species","Plantae","alien","null","present","Tuvalu","TUV","Paspalum conjugatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Ipomoea triloba L.","species","Plantae","alien","null","present","Tuvalu","TUV","Ipomoea triloba","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Cyperus odoratus L.","species","Plantae","alien","null","present","Tuvalu","TUV","Cyperus odoratus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Macroptilium atropurpureum (L.) Urb.","species","Plantae","alien","null","present","Tuvalu","TUV","Macroptilium atropurpureum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Senna occidentalis (L.) Link","species","Plantae","alien","null","present","Tuvalu","TUV","Senna occidentalis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Kyllinga brevifolia Nees","species","Plantae","alien","null","present","Tuvalu","TUV","Cyperus melanospermus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Spermacoce assurgens","species","Plantae","alien","null","present","Tuvalu","TUV","Spermacoce assurgens","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Desmodium heterocarpon (L.) DC.","species","Plantae","alien","null","present","Tuvalu","TUV","Desmodium heterocarpon","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Cleome viscosa L.","species","Plantae","alien","null","present","Tuvalu","TUV","Arivela viscosa","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Cleomaceae","[""terrestrial""]",
"Anoplolepis gracilipes (Smith, 1857)","species","Animalia","alien","invasive","present","Tuvalu","TUV","Anoplolepis gracilipes","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]",
"Achyranthes aspera L.","species","Plantae","alien","null","present","Tuvalu","TUV","Achyranthes aspera","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Ruellia prostrata Poir.","species","Plantae","alien","null","present","Tuvalu","TUV","Ruellia prostrata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]",
"Sus scrofa Linnaeus, 1758","species","Animalia","alien","invasive","present","Tuvalu","TUV","Sus scrofa","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","[""terrestrial""]",
"Dentella repens J.R.Forst. & G.Forst.","species","Plantae","alien","null","present","Tuvalu","TUV","Dentella repens","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Spermacoce remota Lam.","species","Plantae","alien","null","present","Tuvalu","TUV","Spermacoce remota","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Lantana camara L.","species","Plantae","alien","null","present","Tuvalu","TUV","Lantana camara","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]",
"Casuarina equisetifolia L.","species","Plantae","alien","null","present","Tuvalu","TUV","Casuarina equisetifolia","Plantae","Tracheophyta","Magnoliopsida","Fagales","Casuarinaceae","[""terrestrial""]",
"Cyperus involucratus Poir.","species","Plantae","alien","null","present","Tuvalu","TUV","Cyperus imbricatus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Mimosa pudica L.","species","Plantae","alien","invasive","present","Tuvalu","TUV","Mimosa pudica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Dactyloctenium aegyptium (L.) Willd.","species","Plantae","alien","null","present","Tuvalu","TUV","Dactyloctenium aegyptium","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Chamaesyce hypericifolia (L.) Millsp.","species","Plantae","alien","null","present","Tuvalu","TUV","Euphorbia hypericifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Phyllanthus amarus Schumach. & Thonn.","species","Plantae","alien","null","present","Tuvalu","TUV","Phyllanthus amarus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Phyllanthaceae","[""terrestrial""]",
"Desmodium incanum DC.","species","Plantae","alien","null","present","Tuvalu","TUV","Desmodium incanum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Eragrostis amabilis (L.) Wight & Arn.","species","Plantae","alien","null","present","Tuvalu","TUV","Eragrostis amabilis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Sida rhombifolia L.","species","Plantae","alien","null","present","Tuvalu","TUV","Sida rhombifolia","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Stachytarpheta jamaicensis Vahl","species","Plantae","alien","null","present","Tuvalu","TUV","Stachytarpheta jamaicensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]",
"Sphaerostephanos invisus (G.Forst.) Holttum","species","Plantae","alien","null","present","Tuvalu","TUV","Sphaerostephanos invisus","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Thelypteridaceae","[""terrestrial""]",
"Centella asiatica (L.) Urb.","species","Plantae","alien","null","present","Tuvalu","TUV","Centella asiatica","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]",
"Calophyllum inophyllum L.","species","Plantae","alien","null","present","Tuvalu","TUV","Calophyllum inophyllum","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Calophyllaceae","[""terrestrial""]",
"Cyperus compressus L.","species","Plantae","alien","null","present","Tuvalu","TUV","Cyperus compressus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Emilia sonchifolia (L.) DC. ex Wight","species","Plantae","alien","null","present","Tuvalu","TUV","Emilia sonchifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
