"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Callisia repens L.","species","Plantae","alien","invasive","present","Uganda","UGA","Callisia repens","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","[""terrestrial""]"
"Xanthium spinosum L.","species","Plantae","alien","null","present","Uganda","UGA","Xanthium spinosum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Dodonaea viscosa Jacq.","species","Plantae","alien","null","present","Uganda","UGA","Dodonaea viscosa","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]"
"Capsicum annuum L.","species","Plantae","alien","null","present","Uganda","UGA","Capsicum annuum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Euphorbia candelabrum Tremaut ex Kotschy","species","Plantae","alien","null","present","Uganda","UGA","Euphorbia candelabrum","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Verbena bonariensis L.","species","Plantae","alien","null","present","Uganda","UGA","Verbena bonariensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]"
"Ipomoea cairica (L.) Sweet","species","Plantae","alien","null","present","Uganda","UGA","Ipomoea cairica","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
"Gonipterus scutellatus Gyllenhal, 1833","species","Animalia","alien","null","present","Uganda","UGA","Gonipterus scutellatus","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","[""terrestrial""]"
"Hevea brasiliensis (Willd. ex A.Juss.) Müll.Arg.","species","Plantae","alien","null","present","Uganda","UGA","Hevea brasiliensis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Bemisia tabaci (Gennadius, 1889)","species","Animalia","alien","null","present","Uganda","UGA","Bemisia tabaci","Animalia","Arthropoda","Insecta","Hemiptera","Aleyrodidae","[""host""]"
"Terminalia catappa L.","species","Plantae","alien","null","present","Uganda","UGA","Terminalia catappa","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Combretaceae","[""terrestrial""]"
"Jatropha curcas L.","species","Plantae","alien","null","present","Uganda","UGA","Jatropha curcas","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Aristolochia littoralis Parodi","species","Plantae","alien","null","present","Uganda","UGA","Aristolochia elegans","Plantae","Tracheophyta","Magnoliopsida","Piperales","Aristolochiaceae","[""terrestrial""]"
"Prosopis juliflora (Sw.) DC.","species","Plantae","alien","invasive","present","Uganda","UGA","Prosopis juliflora","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Elaeis guineensis Jacq.","species","Plantae","alien","null","present","Uganda","UGA","Elaeis guineensis","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","[""terrestrial""]"
"Canna generalis L.H.Bailey","species","Plantae","alien","invasive","present","Uganda","UGA","Canna generalis","Plantae","Tracheophyta","Liliopsida","Zingiberales","Cannaceae","[""terrestrial""]"
"Cuscuta campestris Yunck.","species","Plantae","alien","invasive","present","Uganda","UGA","Cuscuta pentagona","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""host""]"
"Mimosa diplotricha C.Wright ex Sauvalle","species","Plantae","alien","invasive","present","Uganda","UGA","Mimosa diplotricha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Physalis angulata L.","species","Plantae","alien","invasive","present","Uganda","UGA","Physalis angulata","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Parkinsonia aculeata L.","species","Plantae","alien","null","present","Uganda","UGA","Parkinsonia aculeata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Mononychellus tanajoa (Bondar, 1938)","species","Animalia","alien","invasive","present","Uganda","UGA","Mononychellus tanajoa","Animalia","Arthropoda","Arachnida","Prostigmata","Tetranychidae","[""host""]"
"Paratrechina longicornis (Latreille, 1802)","species","Animalia","alien","null","present","Uganda","UGA","Paratrechina longicornis","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Euryops chrysanthemoides (DC.) B.Nord.","species","Plantae","alien","null","present","Uganda","UGA","Euryops chrysanthemoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Oreochromis spilurus (Günther, 1894)","species","Animalia","alien","null","present","Uganda","UGA","Oreochromis spilurus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]"
"Artocarpus heterophyllus Lam.","species","Plantae","alien","null","present","Uganda","UGA","Artocarpus heterophyllus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Zinnia peruviana L.","species","Plantae","alien","null","present","Uganda","UGA","Zinnia peruviana","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Thevetia peruviana Merr.","species","Plantae","alien","invasive","present","Uganda","UGA","Thevetia peruviana","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Physalis peruviana L.","species","Plantae","alien","null","present","Uganda","UGA","Physalis peruviana","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Toona ciliata M.Roem.","species","Plantae","alien","invasive","present","Uganda","UGA","Toona ciliata","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]"
"Cereus jamacaru DC.","species","Plantae","alien","null","present","Uganda","UGA","Cereus jamacaru","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]"
"Avena fatua L.","species","Plantae","alien","null","present","Uganda","UGA","Avena fatua","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Cirsium vulgare (Savi) Ten.","species","Plantae","alien","null","present","Uganda","UGA","Cirsium vulgare","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
