"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Anethum graveolens L.","species","Plantae","alien","null","present","Ukraine","UKR","Anethum graveolens","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Helianthus rigidus (Cass.) Desf.","species","Plantae","alien","null","present","Ukraine","UKR","Helianthus pauciflorus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Morus alba L.","species","Plantae","alien","null","present","Ukraine","UKR","Morus alba","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Acroptilon repens (L.) DC.","species","Plantae","alien","null","present","Ukraine","UKR","Rhaponticum repens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Amphiascus tenuiremis (Brady & Robertson D., 1880)","species","Animalia","alien","null","present","Ukraine","UKR","Sarsamphiascus tenuiremis","Animalia","Arthropoda","Hexanauplia","Harpacticoida","Miraciidae","[""terrestrial""]"
"Potamopyrgus antipodarum (Gray, 1843)","species","Animalia","alien","null","present","Ukraine","UKR","Potamopyrgus antipodarum","Animalia","Mollusca","Gastropoda","Littorinimorpha","Tateidae","[""freshwater"",""brackish""]"
"Salvia reflexa Hornem.","species","Plantae","alien","null","present","Ukraine","UKR","Salvia reflexa","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Duchesnea indica (Andr.) Focke","species","Plantae","alien","null","present","Ukraine","UKR","Potentilla indica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Atriplex hortensis L.","species","Plantae","alien","null","present","Ukraine","UKR","Atriplex hortensis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Coregonus autumnalis migratorius (Georgi, 1775)","species","Animalia","alien","invasive","present","Ukraine","UKR","Coregonus migratorius","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
