"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Pelecanus rufescens Gmelin, 1789","species","Animalia","alien","null","present","United Arab Emirates","ARE","Pelecanus rufescens","Animalia","Chordata","Aves","Pelecaniformes","Pelecanidae","[""terrestrial"",""freshwater"",""marine""]"
"Lolium multiflorum Lam.","species","Plantae","alien","null","present","United Arab Emirates","ARE","Lolium multiflorum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Dendrocygna javanica (Horsfield, 1821)","species","Animalia","alien","null","present","United Arab Emirates","ARE","Dendrocygna javanica","Animalia","Chordata","Aves","Anseriformes","Anatidae","[""terrestrial"",""freshwater""]"
"Paratrechina longicornis (Latreille, 1802)","species","Animalia","alien","null","present","United Arab Emirates","ARE","Paratrechina longicornis","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Cygnus buccinator Richardson, 1831","species","Animalia","alien","null","present","United Arab Emirates","ARE","Cygnus buccinator","Animalia","Chordata","Aves","Anseriformes","Anatidae","[""terrestrial"",""freshwater"",""marine""]"
"Laevicaulis alte (Ferussac, 1822)","species","Animalia","alien","null","present","United Arab Emirates","ARE","Laevicaulis alte","Animalia","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","[""terrestrial""]"
"Zeuxine strateumatica (L.) Schltr.","species","Plantae","alien","null","present","United Arab Emirates","ARE","Zeuxine strateumatica","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","[""terrestrial""]"
"Schismus arabicus Nees","species","Plantae","alien","null","present","United Arab Emirates","ARE","Schismus arabicus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Geopelia cuneata (Latham, 1802)","species","Animalia","alien","null","present","United Arab Emirates","ARE","Geopelia cuneata","Animalia","Chordata","Aves","Columbiformes","Columbidae","[""terrestrial""]"
"Acryllium vulturinum (Hardwicke, 1834)","species","Animalia","alien","null","present","United Arab Emirates","ARE","Acryllium vulturinum","Animalia","Chordata","Aves","Galliformes","Numididae","[""terrestrial""]"
"Zootecus insularis (Ehrenberg, 1831)","species","Animalia","alien","null","present","United Arab Emirates","ARE","Zootecus insularis","Animalia","Mollusca","Gastropoda","Stylommatophora","Achatinidae","[""terrestrial""]"
"Ctenopharyngodon idella (Valenciennes, 1844)","species","Animalia","alien","null","present","United Arab Emirates","ARE","Ctenopharyngodon idella","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Eolophus roseicapilla (Vieillot, 1817)","species","Animalia","alien","null","present","United Arab Emirates","ARE","Cacatua roseicapilla","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","[""terrestrial""]"
"Diplotaxis erucoides DC.","species","Plantae","alien","null","present","United Arab Emirates","ARE","Diplotaxis erucoides","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Alopochen aegyptiaca (Linnaeus, 1766)","species","Animalia","alien","null","present","United Arab Emirates","ARE","Alopochen aegyptiaca","Animalia","Chordata","Aves","Anseriformes","Anatidae","[""terrestrial"",""freshwater""]"
"Procavia capensis (Pallas, 1766)","species","Animalia","alien","null","present","United Arab Emirates","ARE","Procavia capensis","Animalia","Chordata","Mammalia","Hyracoidea","Procaviidae","[""terrestrial""]"
"Estrilda rufibarba (Cabanis, 1851)","species","Animalia","alien","null","present","United Arab Emirates","ARE","Estrilda rufibarba","Animalia","Chordata","Aves","Passeriformes","Estrildidae","[""terrestrial""]"
