"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Cymbalaria muralis subsp. muralis","subspecies","Plantae","alien","null","present","United Kingdom","GBR","Cymbalaria muralis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Cytisus multiflorus (Aiton) Sweet","species","Plantae","alien","null","present","United Kingdom","GBR","Cytisus multiflorus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Conyza canadensis (L.) Cronq.","species","Plantae","alien","null","present","United Kingdom","GBR","Erigeron canadensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Orconectes limosus (Rafinesque, 1817)","species","Animalia","alien","invasive","present","United Kingdom","GBR","Orconectes limosus","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","[""freshwater""]"
"Steatoda nobilis (Thorell, 1875)","species","Animalia","alien","null","present","United Kingdom","GBR","Steatoda nobilis","Animalia","Arthropoda","Arachnida","Araneae","Theridiidae","[""terrestrial""]"
"Dasineura oleae (Low, 1885)","species","Animalia","cryptogenic|uncertain","null","present","United Kingdom","GBR","Dasineura oleae","Animalia","Arthropoda","Insecta","Diptera","Cecidomyiidae","[""terrestrial""]"
"Cucurbita maxima (Duchesne) Duchesne ex Poir.","species","Plantae","alien","null","present","United Kingdom","GBR","Cucurbita maxima","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","[""terrestrial""]"
"Cotoneaster calocarpus (Rehder & E.H.Wilson) Flinck & Hylmo","species","Plantae","alien","null","present","United Kingdom","GBR","Cotoneaster calocarpus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Montifringilla nivalis (Linnaeus, 1766)","species","Animalia","cryptogenic|uncertain","null","present","United Kingdom","GBR","Montifringilla nivalis","Animalia","Chordata","Aves","Passeriformes","Passeridae","[""terrestrial""]"
"Lagurus ovatus L.","species","Plantae","alien","null","present","United Kingdom","GBR","Lagurus ovatus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Sturnus sinensis (Gmelin, 1788)","species","Animalia","alien","null","present","United Kingdom","GBR","Sturnia sinensis","Animalia","Chordata","Aves","Passeriformes","Sturnidae","[""terrestrial""]"
"Reseda phyteuma L.","species","Plantae","alien","null","present","United Kingdom","GBR","Reseda phyteuma","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Resedaceae","[""terrestrial""]"
"Scorpiurus muricatus L.","species","Plantae","alien","null","present","United Kingdom","GBR","Scorpiurus muricatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Colaptes auratus (Linnaeus, 1758)","species","Animalia","cryptogenic|uncertain","null","present","United Kingdom","GBR","Colaptes auratus","Animalia","Chordata","Aves","Piciformes","Picidae","[""terrestrial""]"
"Phyteuma scheuchzeri All.","species","Plantae","alien","null","present","United Kingdom","GBR","Phyteuma scheuchzeri","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","[""terrestrial""]"
"Chaetogammarus warpachowskyi Sars, 1897","species","Animalia","alien","null","present","United Kingdom","GBR","Chaetogammarus warpachowskyi","Animalia","Arthropoda","Malacostraca","Amphipoda","Gammaridae","[""marine""]"
