"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Avena sterilis L.","species","Plantae","alien","null","present","United Republic of Tanzania","TZA","Avena sterilis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Echium plantagineum L.","species","Plantae","alien","invasive","present","United Republic of Tanzania","TZA","Echium plantagineum","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","[""terrestrial""]"
"Tephrosia vogelii Hook.f.","species","Plantae","alien","null","present","United Republic of Tanzania","TZA","Tephrosia vogelii","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Arundo donax L.","species","Plantae","alien","invasive","present","United Republic of Tanzania","TZA","Arundo donax","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Thevetia peruviana Merr.","species","Plantae","alien","invasive","present","United Republic of Tanzania","TZA","Thevetia peruviana","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Cascabela thevetia (L.) Lippold","species","Plantae","alien","invasive","present","United Republic of Tanzania","TZA","Cascabela thevetia","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Albizia lebbeck (L.) Benth.","species","Plantae","alien","null","present","United Republic of Tanzania","TZA","Albizia lebbeck","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Bryophyllum pinnatum (Lam.) Oken","species","Plantae","alien","null","present","United Republic of Tanzania","TZA","Kalanchoe pinnata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Euryops chrysanthemoides (DC.) B.Nord.","species","Plantae","alien","invasive","present","United Republic of Tanzania","TZA","Euryops chrysanthemoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Agave angustifolia Haw.","species","Plantae","alien","invasive","present","United Republic of Tanzania","TZA","Agave angustifolia","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Maerua subcordata (Gilg) De Wolf","species","Plantae","alien","invasive","present","United Republic of Tanzania","TZA","Maerua subcordata","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Capparaceae","[""terrestrial""]"
"Passiflora suberosa L.","species","Plantae","alien","invasive","present","United Republic of Tanzania","TZA","Passiflora suberosa","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]"
"Salmo trutta Linnaeus, 1758","species","Animalia","alien","null","present","United Republic of Tanzania","TZA","Salmo trutta","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Phaseolus lunatus L.","species","Plantae","alien","null","present","United Republic of Tanzania","TZA","Phaseolus lunatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Selaginella biformis A.Braun ex Kuhn","species","Plantae","alien","null","present","United Republic of Tanzania","TZA","Selaginella biformis","Plantae","Tracheophyta","Lycopodiopsida","Selaginellales","Selaginellaceae","[""terrestrial""]"
"Opuntia exaltata A.Berger","species","Plantae","alien","invasive","present","United Republic of Tanzania","TZA","Austrocylindropuntia subulata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]"
"Argemone mexicana L.","species","Plantae","alien","invasive","present","United Republic of Tanzania","TZA","Argemone mexicana","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Selaginella plana (Desv. ex Poir.) Hieron.","species","Plantae","alien","null","present","United Republic of Tanzania","TZA","Selaginella plana","Plantae","Tracheophyta","Lycopodiopsida","Selaginellales","Selaginellaceae","[""terrestrial""]"
"Nicotiana glauca Graham","species","Plantae","alien","invasive","present","United Republic of Tanzania","TZA","Nicotiana glauca","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Tilapia sparrmanii Smith, 1840","species","Animalia","alien","null","present","United Republic of Tanzania","TZA","Tilapia sparrmanii","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater""]"
"Erigeron karvinskianus DC.","species","Plantae","alien","invasive","present","United Republic of Tanzania","TZA","Erigeron karvinskianus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Caesalpinia decapetala (Roth) Alston","species","Plantae","alien","invasive","present","United Republic of Tanzania","TZA","Caesalpinia decapetala","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Brillantaisia lamium Benth.","species","Plantae","alien","invasive","present","United Republic of Tanzania","TZA","Brillantaisia lamium","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]"
"Drymaria cordata (L.) Roem. & Schult.","species","Plantae","alien","null","present","United Republic of Tanzania","TZA","Drymaria cordata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Sagittaria montevidensis Cham. & Schltdl.","species","Plantae","alien","null","present","United Republic of Tanzania","TZA","Sagittaria montevidensis","Plantae","Tracheophyta","Liliopsida","Alismatales","Alismataceae","[""freshwater""]"
"Peltophorum pterocarpum (DC.) Backer ex K.Heyne","species","Plantae","alien","null","present","United Republic of Tanzania","TZA","Peltophorum pterocarpum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Bemisia tabaci (Gennadius, 1889)","species","Animalia","alien","invasive","present","United Republic of Tanzania","TZA","Bemisia tabaci","Animalia","Arthropoda","Insecta","Hemiptera","Aleyrodidae","[""host""]"
