"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Prosopis ferox Griseb.","species","Plantae","alien","null","present","United States of America","USA","Prosopis ferox","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Sphagneticola trilobata (L.) Pruski","species","Plantae","alien","invasive","present","United States of America","USA","Sphagneticola trilobata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Portulaca amilis Speg.","species","Plantae","alien","null","present","United States of America","USA","Portulaca amilis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Portulacaceae","[""terrestrial""]",
"Crepis vesicaria L.","species","Plantae","alien","null","present","United States of America","USA","Crepis vesicaria","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Consolida pubescens Soó","species","Plantae","alien","null","present","United States of America","USA","Consolida pubescens","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","[""terrestrial""]",
"Persicaria posumbu (Buch.-Ham. ex D.Don) H.Gross","species","Plantae","alien","null","present","United States of America","USA","Persicaria posumbu","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]",
"Clinostomus funduloides Girard, 1856","species","Animalia","native|alien","null","present","United States of America","USA","Clinostomus funduloides","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater""]",
"Hypericum humifusum L.","species","Plantae","alien","null","present","United States of America","USA","Hypericum humifusum","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Hypericaceae","[""terrestrial""]",
"Agrostemma brachyloba (Fenzl) K.Hammer","species","Plantae","alien","null","present","United States of America","USA","Agrostemma brachyloba","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]",
"Coccus pseudomagnoliarum","species","Animalia","alien","invasive","present","United States of America","USA","Coccus pseudomagnoliarum","Animalia","Arthropoda","Insecta","Hemiptera","Coccidae","[""host""]",
"Desmodium sandwicense E.Mey.","species","Plantae","alien","invasive","present","United States of America","USA","Desmodium sandwicense","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Sphaeromyxa sevastopoli Naidenova, 1970","species","Animalia","alien","null","present","United States of America","USA","Sphaeromyxa sevastopoli","Animalia","Myxozoa","Myxosporea","Bivalvulida","Sphaeromyxidae","[""host""]",
"Vitis vinifera L.","species","Plantae","alien","invasive","present","United States of America","USA","Vitis vinifera","Plantae","Tracheophyta","Magnoliopsida","Vitales","Vitaceae","[""terrestrial""]",
"Achyranthes aspera var. pubescens (Moq.) C.C.Towns.","variety","Plantae","alien","null","present","United States of America","USA","Achyranthes aspera","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Carex extensa Gooden.","species","Plantae","alien","null","present","United States of America","USA","Carex extensa","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Perrunichthys perruno Schultz, 1944","species","Animalia","alien","null","present","United States of America","USA","Perrunichthys perruno","Animalia","Chordata","Actinopterygii","Siluriformes","Pimelodidae","[""freshwater""]",
"Thinopyrum pycnanthum (Godr.) Barkworth","species","Plantae","alien","null","present","United States of America","USA","Thinopyrum pycnanthum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Butis koilomatodon (Bleeker, 1849)","species","Animalia","alien","null","present","United States of America","USA","Butis koilomatodon","Animalia","Chordata","Actinopterygii","Perciformes","Eleotridae","[""freshwater"",""brackish"",""marine""]",
"Micropsis dasycarpa (Griseb.) Beauverd","species","Plantae","alien","null","present","United States of America","USA","Micropsis dasycarpa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Lavandula stoechas L.","species","Plantae","alien","null","present","United States of America","USA","Lavandula stoechas","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Ulmus pumila L.","species","Plantae","alien","invasive","present","United States of America","USA","Ulmus pumila","Plantae","Tracheophyta","Magnoliopsida","Rosales","Ulmaceae","[""terrestrial""]",
"Trifolium repens L.","species","Plantae","alien","invasive","present","United States of America","USA","Trifolium repens","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Paspalum fimbriatum Kunth","species","Plantae","alien","null","present","United States of America","USA","Paspalum fimbriatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
