"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Pinus pinea L.","species","Plantae","alien","null","present","Uruguay","URY","Pinus pinea","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Haematobia irritans (Linnaeus, 1758)","species","Animalia","alien","invasive","present","Uruguay","URY","Haematobia irritans","Animalia","Arthropoda","Insecta","Diptera","Muscidae","[""terrestrial""]"
"Acacia longifolia (Andrews) Willd.","species","Plantae","alien","invasive","present","Uruguay","URY","Acacia longifolia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Pittosporum undulatum Vent.","species","Plantae","alien","invasive","present","Uruguay","URY","Pittosporum undulatum","Plantae","Tracheophyta","Magnoliopsida","Apiales","Pittosporaceae","[""terrestrial""]"
"Populus alba L.","species","Plantae","alien","invasive","present","Uruguay","URY","Populus alba","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","[""terrestrial""]"
"Cyperus iria L.","species","Plantae","alien","invasive","present","Uruguay","URY","Cyperus iria","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Helenium amarum (Raf.) H.Rock","species","Plantae","alien","invasive","present","Uruguay","URY","Helenium amarum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Carassius auratus (Linnaeus, 1758)","species","Animalia","alien","null","present","Uruguay","URY","Carassius auratus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Acipenser baerii Brandt, 1869","species","Animalia","alien","null","present","Uruguay","URY","Acipenser baerii","Animalia","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","[""freshwater"",""brackish""]"
"Rubus ulmifolius Schott","species","Plantae","alien","invasive","present","Uruguay","URY","Rubus ulmifolius","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Carpobrotus edulis N.E.Br.","species","Plantae","alien","invasive","present","Uruguay","URY","Carpobrotus edulis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Aizoaceae","[""terrestrial""]"
"Cynodon dactylon (L.) Pers.","species","Plantae","alien","invasive","present","Uruguay","URY","Cynodon dactylon","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Rattus norvegicus (Berkenhout, 1769)","species","Animalia","alien","invasive","present","Uruguay","URY","Rattus norvegicus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Zonitoides arboreus (Say, 1816)","species","Animalia","alien","null","present","Uruguay","URY","Zonitoides arboreus","Animalia","Mollusca","Gastropoda","Stylommatophora","Gastrodontidae","[""terrestrial""]"
"Rubus cochinchinensis Tratt.","species","Plantae","alien","invasive","present","Uruguay","URY","Rubus cochinchinensis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Tamarix gallica L.","species","Plantae","alien","invasive","present","Uruguay","URY","Tamarix gallica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Tamaricaceae","[""terrestrial""]"
"Lamellaxis gracilis (Hutton, 1834)","species","Animalia","alien","null","present","Uruguay","URY","Allopeas gracile","Animalia","Mollusca","Gastropoda","Stylommatophora","Achatinidae","[""terrestrial""]"
"Rumina decollata (Linnaeus, 1758)","species","Animalia","alien","null","present","Uruguay","URY","Rumina decollata","Animalia","Mollusca","Gastropoda","Stylommatophora","Achatinidae","[""terrestrial""]"
"Membraniporopsis tubigera (Osburn, 1940)","species","Animalia","alien","invasive","present","Uruguay","URY","Membraniporopsis tubigera","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Sinoflustridae","[""marine""]"
"Senecio madagascariensis Poir.","species","Plantae","alien","invasive","present","Uruguay","URY","Senecio madagascariensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Rapana venosa (Valenciennes, 1846)","species","Animalia","alien","invasive","present","Uruguay","URY","Rapana venosa","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","[""marine""]"
"Manayunkia speciosa (Leidy, 1859)","species","Animalia","alien","null","present","Uruguay","URY","Manayunkia speciosa","Animalia","Annelida","Polychaeta","Sabellida","Fabriciidae","[""freshwater"",""brackish""]"
"Pinus radiata D.Don","species","Plantae","alien","invasive","present","Uruguay","URY","Pinus radiata","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Corbicula fluminea (O.F.Müller, 1774)","species","Animalia","alien","invasive","present","Uruguay","URY","Corbicula fluminea","Animalia","Mollusca","Bivalvia","Venerida","Cyrenidae","[""freshwater""]"
"Lithobates catesbeianus (Shaw, 1802)","species","Animalia","alien","invasive","present","Uruguay","URY","Lithobates catesbeianus","Animalia","Chordata","Amphibia","Anura","Ranidae","[""terrestrial"",""freshwater""]"
"Sirex noctilio Fabricius, 1773","species","Animalia","alien","null","present","Uruguay","URY","Sirex noctilio","Animalia","Arthropoda","Insecta","Hymenoptera","Siricidae","[""terrestrial""]"
"Pinus halepensis Mill.","species","Plantae","alien","null","present","Uruguay","URY","Pinus halepensis","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Axis axis (Erxleben, 1777)","species","Animalia","alien","invasive","present","Uruguay","URY","Axis axis","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","[""terrestrial""]"
