"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Sisymbrium altissimum L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Sisymbrium altissimum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Amaranthus graecizans L.","species","Plantae","alien","invasive","present","Uzbekistan","UZB","Amaranthus graecizans","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Secale cereale L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Secale cereale","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Anthemis tinctoria Forssk.","species","Plantae","alien","null","present","Uzbekistan","UZB","Anthemis tinctoria","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Nicandra physalodes (L.) Gaertn.","species","Plantae","alien","null","present","Uzbekistan","UZB","Nicandra physalodes","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Berteroa incana DC.","species","Plantae","alien","null","present","Uzbekistan","UZB","Berteroa incana","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Leucanthemum vulgare Lam.","species","Plantae","alien","null","present","Uzbekistan","UZB","Leucanthemum vulgare","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Ipomoea purpurea (L.) Roth","species","Plantae","alien","null","present","Uzbekistan","UZB","Ipomoea purpurea","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
"Amaranthus lividus","species","Plantae","alien","invasive","present","Uzbekistan","UZB","Amaranthus lividus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Consolida regalis","species","Plantae","alien","null","present","Uzbekistan","UZB","Consolida regalis","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","[""terrestrial""]"
"Galium uliginosum L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Galium uliginosum","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]"
"Acalypha australis L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Acalypha australis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Schoenoplectiella roylei (Nees) Lye","species","Plantae","alien","null","present","Uzbekistan","UZB","Schoenoplectiella roylei","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Anthemis candidissima Willd. ex Spreng.","species","Plantae","alien","null","present","Uzbekistan","UZB","Anthemis candidissima","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Prunus domestica L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Prunus domestica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Strigosella africana (L.) Botsch.","species","Plantae","alien","invasive","present","Uzbekistan","UZB","Strigosella africana","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Schoenoplectiella juncoides (Roxb.) Lye","species","Plantae","alien","null","present","Uzbekistan","UZB","Schoenoplectiella juncoides","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Eclipta prostrata","species","Plantae","alien","null","present","Uzbekistan","UZB","Eclipta prostrata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Malope trifida Cav.","species","Plantae","alien","null","present","Uzbekistan","UZB","Malope trifida","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Vicia ervilia Willd.","species","Plantae","alien","null","present","Uzbekistan","UZB","Vicia ervilia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Tribulus terrestris L.","species","Plantae","alien","invasive","present","Uzbekistan","UZB","Tribulus terrestris","Plantae","Tracheophyta","Magnoliopsida","Zygophyllales","Zygophyllaceae","[""terrestrial""]"
"Erigeron canadensis L.","species","Plantae","alien","invasive","present","Uzbekistan","UZB","Erigeron canadensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Agrostemma githago L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Agrostemma githago","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Avena fatua L.","species","Plantae","alien","invasive","present","Uzbekistan","UZB","Avena fatua","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Cuscuta epilinum Weihe","species","Plantae","alien","invasive","present","Uzbekistan","UZB","Cuscuta epilinum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""host""]"
"Veronica polita Fries","species","Plantae","alien","null","present","Uzbekistan","UZB","Veronica polita","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Orlaya grandiflora (L.) Hoffm.","species","Plantae","alien","null","present","Uzbekistan","UZB","Orlaya grandiflora","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Linum usitatissimum L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Linum usitatissimum","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Linaceae","[""terrestrial""]"
"Thlaspi arvense L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Sinapis arvensis","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Galinsoga parviflora Cav.","species","Plantae","alien","invasive","present","Uzbekistan","UZB","Galinsoga parviflora","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Atriplex oblongifolia Waldst. & Kit.","species","Plantae","alien","null","present","Uzbekistan","UZB","Atriplex oblongifolia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Eleusine indica (L.) Gaertn.","species","Plantae","alien","null","present","Uzbekistan","UZB","Eleusine indica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Sinapis alba L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Sinapis alba","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Setaria italica P.Beauv.","species","Plantae","alien","null","present","Uzbekistan","UZB","Setaria italica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Satureja hortensis L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Satureja hortensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Chenopodiastrum murale (L.) S.Fuentes, Uotila & Borsch","species","Plantae","alien","null","present","Uzbekistan","UZB","Chenopodiastrum murale","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Celosia argentea L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Celosia argentea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Cephalaria syriaca Schrad.","species","Plantae","alien","null","present","Uzbekistan","UZB","Cephalaria syriaca","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","[""terrestrial""]"
"Phleum pratense L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Phleum pratense","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Galeopsis ladanum L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Galeopsis ladanum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Hibiscus trionum L.","species","Plantae","alien","invasive","present","Uzbekistan","UZB","Hibiscus trionum","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Malva neglecta Wallr","species","Plantae","alien","null","present","Uzbekistan","UZB","Malva neglecta","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Rorippa sylvestris Besser","species","Plantae","alien","null","present","Uzbekistan","UZB","Rorippa sylvestris","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial"",""freshwater""]"
"Oenothera biennis L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Oenothera biennis","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]"
"Solanum sisymbriifolium Lam.","species","Plantae","alien","null","present","Uzbekistan","UZB","Solanum sisymbriifolium","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Sonchus oleraceus L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Sonchus oleraceus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Cyperus difformis L.","species","Plantae","alien","invasive","present","Uzbekistan","UZB","Cyperus difformis","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Kickxia elatine (L.) Dumort.","species","Plantae","alien","invasive","present","Uzbekistan","UZB","Kickxia elatine","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Eruca sativa Mill.","species","Plantae","alien","invasive","present","Uzbekistan","UZB","Eruca vesicaria","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Cyanus segetum Hill","species","Plantae","alien","null","present","Uzbekistan","UZB","Centaurea cyanus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Portulaca oleracea L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Portulaca oleracea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Portulacaceae","[""terrestrial""]"
"Coriandrum sativum L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Coriandrum sativum","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Chelidonium majus L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Chelidonium majus","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Sonchus asper Hill","species","Plantae","alien","null","present","Uzbekistan","UZB","Sonchus asper","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Datura stramonium L.","species","Plantae","alien","invasive","present","Uzbekistan","UZB","Datura stramonium","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Matthiola oxyceras DC.","species","Plantae","alien","null","present","Uzbekistan","UZB","Matthiola longipetala","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Anchusa azurea Mill.","species","Plantae","alien","null","present","Uzbekistan","UZB","Anchusa azurea","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","[""terrestrial""]"
"Bidens cernua L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Bidens cernua","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Cynodon dactylon (L.) Pers.","species","Plantae","alien","invasive","present","Uzbekistan","UZB","Cynodon dactylon","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Ludwigia perennis L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Ludwigia perennis","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial"",""freshwater""]"
"Geranium sibiricum L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Geranium sibiricum","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","[""terrestrial""]"
"Euphorbia helioscopia L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Euphorbia helioscopia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Carduus uncinatus M.Bieb.","species","Plantae","alien","null","present","Uzbekistan","UZB","Carduus uncinatus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Oxalis corniculata L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Oxalis corniculata","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Oxalidaceae","[""terrestrial""]"
"Vicia sativa L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Vicia sativa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Thladiantha dubia Bunge","species","Plantae","alien","null","present","Uzbekistan","UZB","Thladiantha dubia","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","[""terrestrial""]"
"Sonchus arvensis L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Sonchus arvensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Bergia ammannioides Roxb.","species","Plantae","alien","null","present","Uzbekistan","UZB","Bergia ammannioides","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Elatinaceae","[""terrestrial""]"
"Sisymbrium irio L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Sisymbrium irio","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Apium graveolens L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Apium graveolens","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Geranium pusillum L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Geranium pusillum","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","[""terrestrial""]"
"Lolium temulentum L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Lolium temulentum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Salvia aethiopis L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Salvia aethiopis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Vicia peregrina L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Vicia peregrina","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Crambe orientalis L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Crambe orientalis","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Bellis perennis L.","species","Plantae","alien","null","present","Uzbekistan","UZB","Bellis perennis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
