"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Platydemus manokwari Beauchamp, 1962","species","Animalia","alien","invasive","present","Vanuatu","VUT","Platydemus manokwari","Animalia","Platyhelminthes","Rhabditophora","Seriata","Geoplanidae","[""host""]",
"Acridotheres tristis (Linnaeus, 1766)","species","Animalia","alien","invasive","present","Vanuatu","VUT","Acridotheres tristis","Animalia","Chordata","Aves","Passeriformes","Sturnidae","[""terrestrial""]",
"Spermacoce remota Lam.","species","Plantae","alien","null","present","Vanuatu","VUT","Spermacoce remota","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Columba livia Gmelin, 1789","species","Animalia","alien","null","present","Vanuatu","VUT","Columba livia","Animalia","Chordata","Aves","Columbiformes","Columbidae","[""terrestrial""]",
"Psidium guajava L.","species","Plantae","alien","invasive","present","Vanuatu","VUT","Psidium guajava","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]",
"Rattus norvegicus (Berkenhout, 1769)","species","Animalia","alien","invasive","present","Vanuatu","VUT","Rattus norvegicus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]",
"Cenchrus polystachios (L.) Morrone","species","Plantae","alien","null","present","Vanuatu","VUT","Pennisetum polystachion","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Piper auritum Kunth","species","Plantae","alien","invasive","present","Vanuatu","VUT","Piper auritum","Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","[""terrestrial""]",
"Stachytarpheta jamaicensis (L.) Vahl","species","Plantae","alien","null","present","Vanuatu","VUT","Stachytarpheta jamaicensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]",
"Passiflora maliformis L.","species","Plantae","alien","null","present","Vanuatu","VUT","Passiflora maliformis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]",
"Porphyrio porphyrio (Linnaeus, 1758)","species","Animalia","alien","null","present","Vanuatu","VUT","Porphyrio porphyrio","Animalia","Chordata","Aves","Gruiformes","Rallidae","[""terrestrial"",""freshwater""]",
"Melastoma malabathricum L.","species","Plantae","alien","null","present","Vanuatu","VUT","Melastoma malabathricum","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Melastomataceae","[""terrestrial""]",
"Aedes aegypti (Linnaeus, 1762)","species","Animalia","alien","null","present","Vanuatu","VUT","Aedes aegypti","Animalia","Arthropoda","Insecta","Diptera","Culicidae","[""terrestrial"",""freshwater""]",
"Stenotaphrum secundatum (Walter) Kuntze","species","Plantae","alien","null","present","Vanuatu","VUT","Stenotaphrum secundatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Phyllanthus amarus Schumach. & Thonn.","species","Plantae","alien","null","present","Vanuatu","VUT","Phyllanthus amarus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Phyllanthaceae","[""terrestrial""]",
"Felis catus Linnaeus, 1758","species","Animalia","alien","invasive","present","Vanuatu","VUT","Felis catus","Animalia","Chordata","Mammalia","Carnivora","Felidae","[""terrestrial""]",
"Galinsoga parviflora Cav.","species","Plantae","alien","null","present","Vanuatu","VUT","Galinsoga parviflora","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Hyptis brevipes Poit.","species","Plantae","alien","invasive","present","Vanuatu","VUT","Hyptis brevipes","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Pluchea carolinensis (Jacq.) D.Don","species","Plantae","alien","invasive","present","Vanuatu","VUT","Pluchea carolinensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Macroptilium atropurpureum (DC.) Urb.","species","Plantae","alien","null","present","Vanuatu","VUT","Macroptilium atropurpureum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Thunbergia alata Boj. ex Sims","species","Plantae","alien","null","present","Vanuatu","VUT","Thunbergia alata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]",
"Centella asiatica (L.) Urb.","species","Plantae","alien","null","present","Vanuatu","VUT","Centella asiatica","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]",
"Allopeas kyotoense (Pilsbry & Hirase, 1904)","species","Animalia","alien","null","present","Vanuatu","VUT","Allopeas kyotoense","Animalia","Mollusca","Gastropoda","Stylommatophora","Subulinidae","[""terrestrial""]",
"Triumfetta rhomboidea Jacq.","species","Plantae","alien","null","present","Vanuatu","VUT","Triumfetta rhomboidea","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Momordica charantia L.","species","Plantae","alien","invasive","present","Vanuatu","VUT","Momordica charantia","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","[""terrestrial""]",
"Chrysopogon aciculatus (Retz.) Trin.","species","Plantae","alien","null","present","Vanuatu","VUT","Chrysopogon aciculatus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Sida rhombifolia L.","species","Plantae","alien","invasive","present","Vanuatu","VUT","Sida rhombifolia","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Acanthaster planci (Linnaeus, 1758)","species","Animalia","cryptogenic|uncertain","invasive","present","Vanuatu","VUT","Acanthaster planci","Animalia","Echinodermata","Asteroidea","Valvatida","Acanthasteridae","[""marine""]",
"Amaranthus spinosus L.","species","Plantae","alien","invasive","present","Vanuatu","VUT","Amaranthus spinosus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Monomorium floricola (Jerdon, 1851)","species","Animalia","alien","null","present","Vanuatu","VUT","Monomorium floricola","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]",
"Murraya paniculata (L.) Jacq.","species","Plantae","alien","invasive","present","Vanuatu","VUT","Murraya paniculata","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae","[""terrestrial""]",
"Laevicaulis alte (Ferussac, 1821)","species","Animalia","alien","null","present","Vanuatu","VUT","Laevicaulis alte","Animalia","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","[""terrestrial""]",
"Acacia auriculiformis A.Cunn. ex Benth.","species","Plantae","alien","null","present","Vanuatu","VUT","Acacia auriculiformis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Duranta erecta L.","species","Plantae","alien","null","present","Vanuatu","VUT","Duranta erecta","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]",
"Cardiospermum halicacabum L.","species","Plantae","alien","null","present","Vanuatu","VUT","Cardiospermum halicacabum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]",
