"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Stachytarpheta jamaicensis (L.) Vahl","species","Plantae","alien","null","present","Venezuela, Bolivarian Republic of","VEN","Stachytarpheta jamaicensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]"
"Phyllocnistis citrella Stainton, 1856","species","Animalia","alien","null","present","Venezuela, Bolivarian Republic of","VEN","Phyllocnistis citrella","Animalia","Arthropoda","Insecta","Lepidoptera","Gracillariidae","[""terrestrial""]"
"Anthonomus grandis Boheman, 1843","species","Animalia","alien","invasive","present","Venezuela, Bolivarian Republic of","VEN","Anthonomus grandis","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","[""terrestrial""]"
"Butis koilomatodon (Bleeker, 1849)","species","Animalia","alien","null","present","Venezuela, Bolivarian Republic of","VEN","Butis koilomatodon","Animalia","Chordata","Actinopterygii","Perciformes","Eleotridae","[""freshwater"",""brackish"",""marine""]"
"Didemnum perlucidum Monniot F., 1983","species","Animalia","alien","null","present","Venezuela, Bolivarian Republic of","VEN","Didemnum perlucidum","Animalia","Chordata","Ascidiacea","Aplousobranchia","Didemnidae","[""marine""]"
"Cyperus tenuispica Steud.","species","Plantae","alien","null","present","Venezuela, Bolivarian Republic of","VEN","Cyperus tenuispica","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Chenopodium murale L.","species","Plantae","alien","null","present","Venezuela, Bolivarian Republic of","VEN","Chenopodiastrum murale","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Cyperus iria L.","species","Plantae","alien","null","present","Venezuela, Bolivarian Republic of","VEN","Cyperus iria","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Scyphophorus acupunctatus Gyllenhal, 1838","species","Animalia","alien","null","present","Venezuela, Bolivarian Republic of","VEN","Scyphophorus acupunctatus","Animalia","Arthropoda","Insecta","Coleoptera","Dryophthoridae","[""terrestrial""]"
"Ananas comosus (L.) Merr.","species","Plantae","alien","null","present","Venezuela, Bolivarian Republic of","VEN","Ananas comosus","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","[""terrestrial""]"
