"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Cobitis taenia Linnaeus, 1758","species","Animalia","alien","null","present","Viet Nam","VNM","Cobitis taenia","Animalia","Chordata","Actinopterygii","Cypriniformes","Cobitidae","[""freshwater""]",
"Pinus caribaea Morelet","species","Plantae","alien","null","present","Viet Nam","VNM","Pinus caribaea","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]",
"Tarenaya hassleriana (Chodat) Iltis","species","Plantae","alien","null","present","Viet Nam","VNM","Tarenaya hassleriana","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Cleomaceae","[""terrestrial""]",
"Cyperus sphacelatus Rottb.","species","Plantae","alien","null","present","Viet Nam","VNM","Cyperus sphacelatus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Foot-and-mouth disease virus","species","Viruses","alien","null","present","Viet Nam","VNM","Aphthovirus","Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","[""host""]",
"Oreochromis niloticus (Linnaeus, 1758)","species","Animalia","alien","null","present","Viet Nam","VNM","Oreochromis niloticus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]",
"Sapindus saponaria L.","species","Plantae","alien","null","present","Viet Nam","VNM","Sapindus saponaria","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]",
"Newcastle disease virus (NDV)","species","Viruses","alien","null","present","Viet Nam","VNM","Newcastle disease virus (NDV)","Viruses","NOT ASSIGNED","NOT ASSIGNED","Mononegavirales","Paramyxoviridae","[""host""]",
"Eleocharis dulcis Hensch.","species","Plantae","alien","null","present","Viet Nam","VNM","Eleocharis dulcis","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Brassica nigra (L.) W.D.J.Koch","species","Plantae","alien","null","present","Viet Nam","VNM","Brassica nigra","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]",
"Rubus moluccanus L.","species","Plantae","alien","null","present","Viet Nam","VNM","Rubus moluccanus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]",
"Crassostrea gigas (Thunberg, 1793)","species","Animalia","alien","null","present","Viet Nam","VNM","Magallana gigas","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","[""marine""]",
"Cervus nippon Temminck, 1838","species","Animalia","alien","null","present","Viet Nam","VNM","Cervus nippon","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","[""terrestrial""]",
"Quadrastichus erythrinae Kim, 2004","species","Animalia","alien","null","present","Viet Nam","VNM","Quadrastichus erythrinae","Animalia","Arthropoda","Insecta","Hymenoptera","Eulophidae","[""terrestrial""]",
"Hypostomus punctatus Valenciennes, 1840","species","Animalia","alien","invasive","present","Viet Nam","VNM","Hypostomus punctatus","Animalia","Chordata","Actinopterygii","Siluriformes","Loricariidae","[""freshwater""]",
"Amaranthus viridis L.","species","Plantae","alien","null","present","Viet Nam","VNM","Amaranthus viridis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Cordyline fruticosa (L.) A.Chev.","species","Plantae","alien","null","present","Viet Nam","VNM","Cordyline fruticosa","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]",
