"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Acacia nilotica Schumach. & Thonn.","species","Plantae","alien","null","present","Yemen","YEM","Acacia nilotica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Eucalyptus globulus Labill.","species","Plantae","alien","null","present","Yemen","YEM","Eucalyptus globulus","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Albizia julibrissin Durazz.","species","Plantae","alien","null","present","Yemen","YEM","Albizia julibrissin","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Antirrhinum majus L.","species","Plantae","alien","null","present","Yemen","YEM","Antirrhinum majus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Tropaeolum majus L.","species","Plantae","alien","null","present","Yemen","YEM","Tropaeolum majus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Tropaeolaceae","[""terrestrial""]"
"Indoplanorbis exustus (Deshayes, 1834)","species","Animalia","alien","null","present","Yemen","YEM","Indoplanorbis exustus","Animalia","Mollusca","Gastropoda","Cephalaspidea","Bullinidae","[""freshwater""]"
"Hemidactylus flaviviridis Rüppell, 1835","species","Animalia","alien","invasive","present","Yemen","YEM","Hemidactylus flaviviridis","Animalia","Chordata","Reptilia","Squamata","Gekkonidae","[""terrestrial""]"
"Pluchea indica (L.) Less.","species","Plantae","alien","null","present","Yemen","YEM","Pluchea indica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Eucalyptus microtheca F. Muell.","species","Plantae","alien","null","present","Yemen","YEM","Eucalyptus microtheca","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Gossypium barbadense Raf.","species","Plantae","alien","null","present","Yemen","YEM","Gossypium barbadense","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Rosa x bifera (Poir.) Pers.","hybrid_formula","Plantae","alien","null","present","Yemen","YEM","Rosa damascena","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Cardiocondyla emeryi Forel, 1881","species","Animalia","alien","null","present","Yemen","YEM","Cardiocondyla emeryi","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Tapinoma melanocephalum (Fabricius, 1793)","species","Animalia","alien","null","present","Yemen","YEM","Tapinoma melanocephalum","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Spinacia oleracea L.","species","Plantae","alien","null","present","Yemen","YEM","Spinacia oleracea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Chrysanthemum parthenium (L.) Pers.","species","Plantae","alien","null","present","Yemen","YEM","Tanacetum parthenium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Oryza sativa L.","species","Plantae","alien","null","present","Yemen","YEM","Oryza sativa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]"
"Euphorbia hirta L.","species","Plantae","alien","null","present","Yemen","YEM","Euphorbia hirta","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Tridax procumbens L.","species","Plantae","alien","null","present","Yemen","YEM","Tridax procumbens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Argemone mexicana L.","species","Plantae","alien","invasive","present","Yemen","YEM","Argemone mexicana","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Coriandrum sativum L.","species","Plantae","alien","null","present","Yemen","YEM","Coriandrum sativum","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Tecoma stans (L.) Juss. ex Kunth","species","Plantae","alien","null","present","Yemen","YEM","Tecoma stans","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","[""terrestrial""]"
"Terminalia catappa L.","species","Plantae","alien","null","present","Yemen","YEM","Terminalia catappa","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Combretaceae","[""terrestrial""]"
"Corchorus olitorius L.","species","Plantae","alien","null","present","Yemen","YEM","Corchorus olitorius","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
