"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Acacia dealbata Link","species","Plantae","alien","null","present","Zambia","ZMB","Acacia dealbata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Conyza aegyptiaca Schumach. & Thonn.","species","Plantae","cryptogenic|uncertain","null","present","Zambia","ZMB","Conyza aegyptiaca","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Neojeffreya decurrens (L.) Cabrera","species","Plantae","cryptogenic|uncertain","null","present","Zambia","ZMB","Neojeffreya decurrens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Acacia melanoxylon R. Br","species","Plantae","alien","invasive","present","Zambia","ZMB","Acacia melanoxylon","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Toona ciliata M.Roem.","species","Plantae","alien","invasive","present","Zambia","ZMB","Toona ciliata","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]"
"Eriobotrya japonica (Thunb.) Lindl.","species","Plantae","alien","null","present","Zambia","ZMB","Eriobotrya japonica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Opuntia microdasys (Lehm.) Lehm. ex Pfeiff.","species","Plantae","alien","null","present","Zambia","ZMB","Opuntia microdasys","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]"
"Dahlia imperialis Roezl ex Ortgies","species","Plantae","alien","invasive","present","Zambia","ZMB","Dahlia imperialis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Crataegus mexicana D.Don","species","Plantae","alien","null","present","Zambia","ZMB","Crataegus mexicana","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Cryptostegia madagascariensis Bojer","species","Plantae","alien","null","present","Zambia","ZMB","Cryptostegia madagascariensis","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Hyptis suaveolens (L.) Poit.","species","Plantae","alien","invasive","present","Zambia","ZMB","Mesosphaerum suaveolens","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Cannabis sativa L.","species","Plantae","alien","null","present","Zambia","ZMB","Cannabis sativa","Plantae","Tracheophyta","Magnoliopsida","Rosales","Cannabaceae","[""terrestrial""]"
"Zinnia elegans Jacq.","species","Plantae","alien","invasive","present","Zambia","ZMB","Zinnia elegans","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Sambucus nigra L.","species","Plantae","alien","null","present","Zambia","ZMB","Sambucus nigra","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Adoxaceae","[""terrestrial""]"
"Aspatharia wahlbergi","species","Animalia","alien","null","present","Zambia","ZMB","Aspatharia wahlbergi","Animalia","Mollusca","Bivalvia","Unionida","Mutelidae","[""marine""]"
"Cardiospermum grandiflorum Sw.","species","Plantae","alien","invasive","present","Zambia","ZMB","Cardiospermum grandiflorum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]"
"Solanum viarum Dunal","species","Plantae","alien","null","present","Zambia","ZMB","Solanum viarum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Aristolochia littoralis Parodi","species","Plantae","alien","invasive","present","Zambia","ZMB","Aristolochia elegans","Plantae","Tracheophyta","Magnoliopsida","Piperales","Aristolochiaceae","[""terrestrial""]"
"Dichrostachys cinerea (L.) Wight & Arn.","species","Plantae","alien","invasive","present","Zambia","ZMB","Dichrostachys cinerea","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Lagarosiphon muscoides Harv.","species","Plantae","alien","invasive","present","Zambia","ZMB","Lagarosiphon muscoides","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","[""freshwater""]"
"Ipomoea cairica (L.) Sweet","species","Plantae","alien","invasive","present","Zambia","ZMB","Ipomoea cairica","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
"Euphorbia prostrata Ait.","species","Plantae","alien","null","present","Zambia","ZMB","Euphorbia prostrata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Anredera cordifolia (Ten.) Steenis","species","Plantae","alien","invasive","present","Zambia","ZMB","Anredera cordifolia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Basellaceae","[""terrestrial""]"
"Arundo donax L.","species","Plantae","alien","invasive","present","Zambia","ZMB","Arundo donax","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Euphorbia heterophylla L.","species","Plantae","alien","null","present","Zambia","ZMB","Euphorbia heterophylla","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Bauhinia variegata L.","species","Plantae","alien","invasive","present","Zambia","ZMB","Bauhinia variegata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Rivina humilis L.","species","Plantae","alien","null","present","Zambia","ZMB","Rivina humilis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Phytolaccaceae","[""terrestrial""]"
"Pseudoconyza viscosa (Mill.) D Arcy","species","Plantae","cryptogenic|uncertain","null","present","Zambia","ZMB","Pseudoconyza viscosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Desmodium dichotomum DC.","species","Plantae","alien","null","present","Zambia","ZMB","Desmodium dichotomum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Trichodesma zeylanicum R.Br.","species","Plantae","alien","invasive","present","Zambia","ZMB","Trichodesma zeylanicum","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","[""terrestrial""]"
"Gambusia affinis (Baird & Girard, 1853)","species","Animalia","alien","null","present","Zambia","ZMB","Gambusia affinis","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish""]"
"Salvinia molesta D.Mitch.","species","Plantae","alien","invasive","present","Zambia","ZMB","Salvinia molesta","Plantae","Tracheophyta","Polypodiopsida","Salviniales","Salviniaceae","[""freshwater""]"
"Ctenopharyngodon idella (Valenciennes, 1844)","species","Animalia","alien","null","present","Zambia","ZMB","Ctenopharyngodon idella","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
